id,error,dE_r2_single,dE_r2_boltz,dE_wb_single,nconf_ald,nconf_prod,std_ald_kcal,std_prod_kcal,dG_orca_kcal,dG_gxtb_kcal,dG_gxtb_corrected_final,boltz_corr,func_shift,dG_boltz,dG_wb97x
94983,,-23.05291235349969,-22.857267160233103,-20.857275264403707,5,5,0.8115665871295077,1.9217189010756288,1.2941434378575765,1.206,3.0988609726037435,0.1956451932665857,2.1956370890959818,1.4897886311241622,3.4897805269535582
12687,,-26.11238054378217,-26.62258418539746,-31.83858726119657,5,5,1.824701038467396,4.026612719382068,-3.033711267228441,-12.1531,-5.661808867870678,-0.5102036416152913,-5.726206717414399,-3.5439149088437323,-8.75991798464284
201471,,-8.787316245364496,-9.028327251817062,-10.548945447225885,5,5,3.897918343806039,2.208622492576848,8.769108788983399,6.5796,8.194357269345304,-0.2410110064525668,-1.761629201861389,8.528097782530832,7.00747958712201
22515,,-1.1419154180674354,-2.2081214352265417,-2.851483166515303,5,5,0.7345163668144165,1.1536909763793832,11.734483426695396,9.171,11.579804430804046,-1.0662060171591063,-1.7095677484478675,10.668277409536291,10.02491567824753
162600,,-18.57697371229068,-19.18104468757855,,5,5,0.5260592816777118,3.415666265512261,5.403214700079332,5.7506,7.151014658129177,-0.6040709752878684,,4.799143724791463,
199068,,-1.6647198559936098,-2.370262722032697,,5,5,1.2790025459475376,3.848733866882879,8.26749456910153,8.3755,8.884365708582536,-0.7055428660390872,,7.561951703062443,
66491,,-10.533161936689105,-13.392137632513876,-11.99605084216256,5,5,0.5165801394334256,2.097477032288868,5.574820431574037,5.1113,6.879820155178994,-2.858975695824771,-1.4628889054734557,2.7158447357492657,4.111931526100581
7647,,-12.946896823435416,-11.550678003305274,-13.899668564297183,5,5,0.8009846769737254,3.4748685103740216,8.809644945254947,7.5758,9.156611141232954,1.3962188201301426,-0.9527717408617669,10.20586376538509,7.85687320439318
160907,,-15.008308661469416,-14.575837014647428,-15.325472626766096,5,5,0.0656380824328049,1.759586473091468,6.312312372679424,5.5805,5.5902115439994535,0.4324716468219876,-0.31716396529668067,6.744784019501411,5.995148407382743
202001,,-18.828579608564123,-18.780300389161887,-17.464680226697883,5,5,0.6963689748453329,3.609201597669625,-0.6803977515947399,0.7869,-1.561615808431363,0.048279219402235896,1.36389938186624,-0.632118532192504,0.6835016302715
135840,,-17.970827775309367,-17.74202327665591,,5,5,0.4542214488448821,5.5293661749755,10.074693871032697,5.2115,10.263957309650204,0.22880449865345653,,10.303498369686153,
10749,,-9.05864480773114,-8.978120730072092,-11.248000418317414,5,5,0.0102293206321308,2.219068587176374,4.354524751372801,1.7826,4.150575004974254,0.08052407765904768,-2.189355610586274,4.435048829031849,2.165169140786527
79813,,-10.244348603146197,-11.42995596316037,,5,5,0.9224396785716276,2.0226693406103515,9.842519223831328,8.1285,9.332672805017284,-1.185607360014174,,8.656911863817154,
136989,,-15.969679397064638,-16.907728144460492,-15.828024358969104,5,5,0.5505135458405294,2.4127782550612253,-2.651555832405562,1.052,-1.204412929371287,-0.9380487473958539,0.14165503809553393,-3.589604579801416,-2.509900794310028
61569,,9.613308348613414,9.58379897469216,,5,5,1.7344773519341006,5.706093097208816,30.46050980069923,28.7428,30.686316887626575,-0.029509373921253967,,30.431000426777977,
