id,ald_smiles,smiles,cls,error,struct_cluster,ald_sulfonyl,ald_sulfonyl_F,ald_nitro,ald_nitrile,ald_imine,ald_has_B,ald_has_Si,ald_has_P,ald_soft_S_thioether,ald_furan_O,ald_thiophene_S,ald_azine_N,ald_halogen,ald_ester,ald_amide,prod_sulfonyl,prod_sulfonyl_F,prod_nitro,prod_nitrile,prod_imine,prod_has_B,prod_has_Si,prod_has_P,prod_soft_S_thioether,prod_furan_O,prod_thiophene_S,prod_azine_N,prod_halogen,prod_ester,prod_amide
217434,C1=CC=C2C(=C1)C=CC(=C2Cl)OC3=CC=CC=C3S(=O)(=O)NC(CC(=O)O)C=O,O=C(O)CC(NS(=O)(=O)c1ccccc1Oc1ccc2ccccc2c1Cl)C(=O)C(O)C(CC(=O)O)NS(=O)(=O)c1ccccc1Oc1ccc2ccccc2c1Cl,aliphatic,2.240518960076772,4,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
77162,CNC1=C(C=CN=C1)[C@@H]2C[C@@H](CC(C2)N)CC3=C(C(=CC=C3)F)C4=C(C=C(C(=N4)C=O)N)F,CNc1cnccc1C1CC(N)CC(Cc2cccc(F)c2-c2nc(C(=O)C(O)c3nc(-c4c(F)cccc4CC4CC(N)CC(c5ccncc5NC)C4)c(F)cc3N)c(N)cc2F)C1,aromatic,1.9297488709690336,1,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
55281,C1CN(CCN1CC(F)(F)F)C(C=O)Cl,O=C(C(O)C(Cl)N1CCN(CC(F)(F)F)CC1)C(Cl)N1CCN(CC(F)(F)F)CC1,aliphatic,4.480768750496067,5,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
9339,CC1=C2C=C(NC2=CC=C1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C=O,Cc1cccc2[nH]c(C(=O)NC(CC(C)C)C(=O)NC(CC3CCNC3=O)C(=O)C(O)C(CC3CCNC3=O)NC(=O)C(CC(C)C)NC(=O)c3cc4c(C)cccc4[nH]3)cc12,aliphatic,4.179271310221264,4,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
31285,CN1CCN(CC1)S(=O)(=O)C2=C(C(=C(C=C2)F)C=O)F,CN1CCN(S(=O)(=O)c2ccc(F)c(C(=O)C(O)c3c(F)ccc(S(=O)(=O)N4CCN(C)CC4)c3F)c2F)CC1,aromatic,1.3704250812347745,3,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
70024,CN1C2=C(C(=C(C1=O)C=O)O)N=CC(=C2)CC3=C(C=C(C=C3)F)COCOCC[Si](C)(C)C,Cn1c(=O)c(C(=O)C(O)c2c(O)c3ncc(Cc4ccc(F)cc4COCOCC[Si](C)(C)C)cc3n(C)c2=O)c(O)c2ncc(Cc3ccc(F)cc3COCOCC[Si](C)(C)C)cc21,aromatic,1.4590934801624167,3,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False
27419,C([C@H]([C@H]([C@@H](C=O)O)N)O)O,NC(C(O)CO)C(O)C(=O)C(O)C(O)C(N)C(O)CO,aliphatic,2.538842340433802,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
76371,C1CC1C(=O)C(C2=CC=CC=C2F)N3CCC(=C(C3)CC=O)S,O=C(CC1=C(S)CCN(C(C(=O)C2CC2)c2ccccc2F)C1)C(O)CC1=C(S)CCN(C(C(=O)C2CC2)c2ccccc2F)C1,aliphatic,4.470559460425326,1,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
149266,CC(C)(C)OC(=O)NC1(C(C1S(=O)(=O)C)C2=CC(=CC=C2)F)C=O,CC(C)(C)OC(=O)NC1(C(=O)C(O)C2(NC(=O)OC(C)(C)C)C(c3cccc(F)c3)C2S(C)(=O)=O)C(c2cccc(F)c2)C1S(C)(=O)=O,aliphatic,0.5063202059881338,2,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True
95894,CC1=CC=CC=C1C(=O)OC2(CCCC3=C2C=CC(=C3F)Cl)C=O,Cc1ccccc1C(=O)OC1(C(=O)C(O)C2(OC(=O)c3ccccc3C)CCCc3c2ccc(Cl)c3F)CCCc2c1ccc(Cl)c2F,aliphatic,5.522859320133306,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
101924,CC1=NNC(N(C1)NC(=S)NC2=CC=C(C=C2)C(F)(F)F)C=O,CC1=NNC(C(=O)C(O)C2NN=C(C)CN2NC(=S)Nc2ccc(C(F)(F)F)cc2)N(NC(=S)Nc2ccc(C(F)(F)F)cc2)C1,aliphatic,0.2912514435654161,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
78086,CNCCC(C1=CC=CC=C1F)OC2=CC=C(C=C2)CN(C)CCN(C)C3=C(C=NC=C3)C=O,CNCCC(Oc1ccc(CN(C)CCN(C)c2ccncc2C(=O)C(O)c2cnccc2N(C)CCN(C)Cc2ccc(OC(CCNC)c3ccccc3F)cc2)cc1)c1ccccc1F,aromatic,0.8684563688592934,0,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
82018,C1=CC=C(C(=C1)C(=O)C2=NC(=CC=C2)OC3=C(C(=CC=C3)F)C=O)O,O=C(c1cccc(Oc2cccc(F)c2C(=O)C(O)c2c(F)cccc2Oc2cccc(C(=O)c3ccccc3O)n2)n1)c1ccccc1O,aromatic,3.805318967920532,3,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
106529,CCCN(C)/C=C\C1=C(N=C(C=C1)NC2(CN(C2)C(=O)C=C)/C(=C(/C(=C)Cl)\Cl)/C(=C)F)C=O,C=CC(=O)N1CC(Nc2ccc(C=CN(C)CCC)c(C(=O)C(O)c3nc(NC4(C(C(=C)F)=C(Cl)C(=C)Cl)CN(C(=O)C=C)C4)ccc3C=CN(C)CCC)n2)(C(C(=C)F)=C(Cl)C(=C)Cl)C1,aromatic,1.492800503190134,1,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True
206794,C1=CC=C(C=C1)S(=O)(=O)CC2=C(C=C(C=C2)[N+](=O)[O-])C=O,O=C(c1cc([N+](=O)[O-])ccc1CS(=O)(=O)c1ccccc1)C(O)c1cc([N+](=O)[O-])ccc1CS(=O)(=O)c1ccccc1,aromatic,7.623412042487054,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
