id,error,cluster
7507,9.518548804480934,1
181763,5.508248467558665,0
19149,3.4753187131849232,0
185494,6.811374022334071,0
104569,4.532681892614186,3
119495,4.069045851059442,3
38131,3.746369753602817,3
69645,7.308787270747519,3
61775,3.523180313454403,0
88135,4.729376106533777,2
110425,3.329242168908788,1
44333,5.234118579727714,3
111245,8.820908198822847,0
82441,5.07859828050379,2
76596,6.226134506667488,0
210170,12.073983367309767,0
203144,3.202009230872616,1
201556,7.182190871871711,3
121939,14.75219328822144,1
57001,3.665363341913407,3
2543,3.8132507565295573,2
29069,3.192384610277358,3
20412,4.538217283115661,2
67179,4.369714687388278,3
144216,4.123840932154369,0
43816,4.281621442269643,0
194720,3.9097296468256464,0
43174,4.260453166194653,2
9377,4.223932743839448,1
100532,9.98494778551678,0
154355,3.2296298299874113,1
103453,4.278797915178702,1
38575,3.7218785061408988,1
49612,4.542767984835113,0
90228,4.288820420549167,1
54464,14.422084788028698,0
203397,3.922153767396839,0
1792,3.331739746070914,2
179879,4.1660571735653695,0
85655,4.1420421841980986,1
190108,5.227981501119967,3
86764,6.0834872161851,2
193955,4.3437846235849,1
76598,6.046179946833604,3
95049,3.969769249233605,2
101708,10.515563910691005,2
104771,3.680533688268108,2
52680,3.424068738649865,1
91191,5.825370201992356,2
39596,3.612945997396321,1
363,4.3554344106183285,0
148362,4.455897563876144,0
46860,4.03181036832479,3
148096,5.041875371946958,1
205370,14.064709945929671,2
107388,3.944884499106001,3
66786,4.895410118387048,3
197076,4.036093340674968,2
47488,3.750593155460199,2
91659,4.967084207972775,0
199428,4.3146775792447265,1
41718,4.0300220096153865,3
51241,4.001519068337492,2
148857,6.954919405057968,1
46845,4.9595389546527375,3
12864,9.354109458120668,2
61991,3.6752996488006806,0
210616,3.2471023114448254,0
107445,11.42362862063344,2
65635,4.706737561716481,3
33109,8.510982184288208,1
215981,3.217658300854225,1
43133,3.31417212152472,2
185605,4.243276173973104,0
116428,3.444163476619332,0
121581,3.8507109559845194,3
94325,4.961021672923193,0
60997,5.441150241923065,2
171536,4.453685159133961,3
127489,4.363247354183985,3
44404,3.631281484203867,1
53425,4.419482038934763,3
80409,4.461260582344401,3
177061,6.551552567355454,0
72348,6.955297422376368,1
152127,5.642518429486229,0
118795,4.170508672410495,2
150827,3.671785750091985,0
133005,4.2212822308474465,2
68054,11.073103867004953,3
77784,3.369627857687078,3
32211,11.643845983924582,2
47902,3.6191770719532617,1
179541,5.397397860530848,0
137990,3.59399287561887,3
27942,4.017823338805808,1
201866,3.4815812602594303,2
34789,3.2463473923994255,2
99613,3.8504193095999444,3
184185,3.5321213023812077,0
98352,7.692295140327863,0
97741,5.7582359756225525,3
138398,8.183334337624204,3
128432,3.7120074129580143,1
85670,4.539337032927499,2
129007,5.086267859967804,2
90853,6.214217470497852,3
151970,4.314973983233558,0
220120,6.116018955782382,1
7513,4.054281535415136,2
131323,3.659619342113837,1
98724,3.471771364636922,3
68972,7.608667268627844,3
77818,4.8834321518291794,2
39109,4.209956379479841,2
211072,3.807745732010143,1
10303,4.655096676641356,0
58062,4.927098806566734,3
44658,4.815325599927422,1
95365,3.9516830331415003,0
81596,3.8244372694283886,3
203745,3.7289944670672734,0
197369,5.494114328679487,2
111318,4.702937411939855,0
7899,3.520702216053257,3
70930,5.647793225692334,2
95206,3.1518420945552474,1
189095,4.542880400186771,0
6827,4.678088759007238,3
117468,3.346970077428253,0
217055,5.007381749659722,3
111378,5.811028091188145,0
82815,4.201163245572525,1
147239,5.286942045487392,2
45038,3.2373786705867427,3
62227,4.601707225009214,2
110647,5.3934972455535455,0
199963,3.622163391401573,2
44817,11.353841100789081,2
86014,6.490924341038102,3
193412,3.544912887366861,0
49492,3.8086949558723706,2
85628,3.7973832699462613,2
208081,8.825046439800731,0
130895,4.541274765503374,1
59880,3.513000321864439,1
28544,3.6665912565713086,2
201833,5.149691114781717,3
33757,3.156862920789025,2
80337,6.026491003005478,2
82400,3.573675306591835,2
121277,4.114203947354499,1
168313,3.770400366568172,1
183797,4.915540670884932,0
46538,4.2921746899218896,2
99354,5.9419289085861475,2
169176,4.144291841069567,0
47122,3.28020687143618,0
65541,3.946666758807307,3
174396,3.171829213279743,0
190884,4.571148963980628,1
171702,3.4393489938025823,0
216485,3.5153763818442334,0
117833,20.51709494246636,3
96167,4.132246567288461,0
77858,3.1736112123885416,2
203333,5.120112490850644,3
106034,5.073863012465356,3
42002,8.052320904813637,3
83380,4.90111877876581,1
31220,6.065439674424692,2
101329,5.1502229858478525,0
27322,5.473019348894667,0
75936,7.835616812455862,1
91254,3.6720781506681135,1
19454,3.5363033302257763,0
43182,3.283330494406452,0
111372,3.7389731950970173,1
81961,3.823575416037242,1
89407,4.4351645409823295,2
47948,5.500799661393244,2
184787,5.982400694181205,1
167863,4.016956033773226,1
208050,5.221225598062957,2
101233,5.04894905659561,0
102204,3.3323640956089386,2
56758,4.390110307401432,1
168020,3.430374851236973,0
132505,3.128001807717313,0
17476,3.933753423444589,2
202165,5.645607781282244,0
73794,4.607816686587594,1
125882,4.995570369035357,0
79966,3.9379851138244124,0
33683,8.700844360398555,1
118840,4.588926209857462,0
205535,3.9709344197537826,2
186730,4.698203566179944,2
725,3.3242945992522106,2
148554,3.362879904371942,1
99582,4.129548745477409,1
159876,5.128296681906392,0
75601,4.087923421337111,0
104138,4.478994266748742,1
67106,7.325501653720339,2
56587,5.099574357156865,1
93407,4.654214814835114,0
219343,3.8646490315537907,3
49873,6.206236994433397,3
198687,9.073478643553408,1
131730,3.5115177651272766,1
109752,4.931379061827865,1
13249,3.604407249206897,2
107378,6.369449296017745,3
63907,7.739831436206369,2
56834,5.2310595063656535,3
149171,5.419814530429125,1
48083,4.059148681645921,2
73313,7.262473472517951,0
201332,5.844947824012016,0
106957,5.3086660619084025,2
103990,9.285454784079825,2
56913,3.908551072780293,1
98702,3.130481048234081,2
156000,3.7124122230924104,0
46863,5.514257242552278,0
77404,4.896951003028699,1
122765,3.975207672870247,3
216361,3.5764758983587512,1
182071,3.5568842740837985,0
26230,3.5382203994356205,0
149140,5.241589418050369,1
8242,5.999975224682565,1
70497,3.9300496610386215,0
83926,5.728189644645605,2
26340,4.155155331580627,0
203968,8.169766215443161,1
124728,4.4016868833682015,1
148710,3.2782130624237427,1
187476,7.411551365645018,1
171143,4.673194549487712,3
121588,6.092170675516241,3
195158,3.9546856734588802,0
52820,5.871273547372359,1
97272,7.9645662833991615,3
8618,3.178741188356323,0
27508,3.6157618939326808,0
47298,14.873467376230444,1
5241,6.912330274308642,2
99728,6.293209808843548,2
98828,5.363762238706884,2
117170,9.226359516436693,0
13033,7.680695940699533,3
97982,3.6565226688623937,2
112471,3.7956366453359944,1
125960,5.522790863568648,2
44297,4.333226851762344,1
174883,4.887963314393988,0
20936,4.096150493671239,0
57228,4.640686044151424,3
70959,3.30114620738771,1
18532,5.787427961658146,0
52573,5.407134750565307,1
20693,5.08077133365377,3
70027,4.42078343612864,0
173052,5.409169159624667,0
89755,4.1848893973433485,0
53970,5.289574274283015,2
134669,4.181523976946548,1
168154,4.427763057952854,0
21091,3.7142155909645993,0
91100,5.756733019497178,3
116498,4.617288872529164,1
13931,4.790197237012894,3
69973,3.162434723665755,1
42657,7.406643694411082,0
58487,6.639681719959919,2
202986,4.778148173513731,0
209780,4.640634107439731,2
24698,3.783375353951145,0
32032,4.429288899739994,3
193447,3.7958832995291214,0
50292,6.014929006281912,3
59893,4.151047489444336,2
33705,5.2285421409405775,0
180429,3.194650307758969,0
128136,5.009139243234797,2
2560,4.3923839289866535,3
103689,10.293321446473136,0
57522,3.595499926446366,0
88109,4.5198344377747315,3
181276,5.088376822874929,0
100771,3.2061833416588517,2
13376,4.431901663400581,3
187015,7.756515064201036,1
41047,3.1931035792953715,1
92965,3.6947864551928298,1
118002,5.6549777160251775,0
