id,prod_smiles,ald_smiles,dG_orca_kcal,dG_gxtb_kcal
89539,CNC(=O)C(CCC=O)N(C(=O)c1cc(N2CC3C(CN)C3C2)c(F)cc1C)C(=O)C(O)N(C(=O)c1cc(N2CC3C(CN)C3C2)c(F)cc1C)C(CCC=O)C(=O)NC,CC1=CC(=C(C=C1C(=O)N(C=O)C(CCC=O)C(=O)NC)N2C[C@@H]3[C@H](C2)C3CN)F,24.310532531749395,16.2671
95606,CC(C)(C)OC(=O)N1CCC2(CC1)CN(N1CN=Cc3cc(C(=O)C(O)c4cc5c(cc4F)N(N4CC6(CCN(C(=O)OC(C)(C)C)CC6)C4)CN=C5)c(F)cc31)C2,CC(C)(C)OC(=O)N1CCC2(CC1)CN(C2)N3CN=CC4=CC(=C(C=C43)F)C=O,9.140958278709403,8.8627
182668,O=C(CC(F)(F)P(=O)(OCc1ccccc1)OCc1ccccc1)C(O)CC(F)(F)P(=O)(OCc1ccccc1)OCc1ccccc1,C1=CC=C(C=C1)COP(=O)(C(CC=O)(F)F)OCC2=CC=CC=C2,9.184347415299507,13.7642
195867,O=C(c1cc(C(F)(F)F)ccc1-c1ccc(Cl)c(Cl)c1)C(O)c1cc(C(F)(F)F)ccc1-c1ccc(Cl)c(Cl)c1,C1=CC(=C(C=C1C2=C(C=C(C=C2)C(F)(F)F)C=O)Cl)Cl,5.102889530886918,-1.9353
65737,O=C(c1cc(OCc2ccccc2)c2c(c1OS(=O)(=O)C(F)(F)F)C1CCC2CC1)C(O)c1cc(OCc2ccccc2)c2c(c1OS(=O)(=O)C(F)(F)F)C1CCC2CC1,C1CC2CCC1C3=C(C=C(C(=C23)OS(=O)(=O)C(F)(F)F)C=O)OCC4=CC=CC=C4,7.659622441522308,-17.1841
133045,O=C(c1cc(F)c(F)c(-c2ccccc2)c1F)C(O)c1cc(F)c(F)c(-c2ccccc2)c1F,C1=CC=C(C=C1)C2=C(C(=CC(=C2F)F)C=O)F,2.026237969232996,5.2327
219742,CC(=O)NC(C(C)O)C(O)C(O)C(=O)C(O)C(O)C(O)C(NC(C)=O)C(C)O,CC(C(C(C(C=O)O)O)NC(=O)C)O,2.04750690597715,2.894
24249,O=C(c1ccc(C(=O)C(O)c2ccc(C(=O)c3ccccc3O)cc2)cc1)c1ccccc1O,C1=CC=C(C(=C1)C(=O)C2=CC=C(C=C2)C=O)O,2.790270726424985,3.5609
211131,COc1ccc(CC(=O)C(O)Cc2ccc(OC)c(OCc3ccccc3)c2)cc1OCc1ccccc1,COC1=C(C=C(C=C1)CC=O)OCC2=CC=CC=C2,2.7922202865703696,-2.3554
110901,CCn1cc(C(=O)C(O)c2cn(CC)c3ncccc23)c2cccnc21,CCN1C=C(C2=C1N=CC=C2)C=O,6.256638028475355,4.1529
38786,CS(=O)(=O)N1CCC(c2ccc3oc(-c4ccc(C(=O)C(O)c5ccc(-c6cc7cc(C8CCN(S(C)(=O)=O)CC8)ccc7o6)c(F)c5)cc4F)cc3c2)CC1,CS(=O)(=O)N1CCC(CC1)C2=CC3=C(C=C2)OC(=C3)C4=C(C=C(C=C4)C=O)F,1.5049024119553986,5.6544
121324,CC(C(=O)C(O)C(C)(c1ccc2ccccc2c1)C(c1ccccc1)c1ccccc1)(c1ccc2ccccc2c1)C(c1ccccc1)c1ccccc1,C[C@@](C=O)(C1=CC2=CC=CC=C2C=C1)C(C3=CC=CC=C3)C4=CC=CC=C4,15.708598222574608,9.2406
105053,O=C(c1c(CO)cnc(CF)c1O)C(O)c1c(CO)cnc(CF)c1O,C1=C(C(=C(C(=N1)CF)O)C=O)CO,12.750389873728126,5.5764
71759,COc1ccc(C=Cc2cc(F)c(O)c(C(=O)C(O)c3cc(C=Cc4ccc(OC)cc4)cc(F)c3O)c2)cc1,COC1=CC=C(C=C1)/C=C/C2=CC(=C(C(=C2)F)O)C=O,9.113818695790831,7.9997
2,CC(=O)C(C)O,CC=O,-4.75310943442917,0.1439
138230,Cc1cc(C(=O)C(O)c2cc(C)cc(N3CC(c4nc5cc(F)ccc5o4)CCC3C)c2-c2ncccn2)c(-c2ncccn2)c(N2CC(c3nc4cc(F)ccc4o3)CCC2C)c1,C[C@@H]1CC[C@H](CN1C2=CC(=CC(=C2C3=NC=CC=N3)C=O)C)C4=NC5=C(O4)C=CC(=C5)F,9.540259020941672,4.5224
188417,Cc1c(-c2ccc(C(=O)C(O)c3ccc(-c4cc(F)cc([N+](=O)[O-])c4C)o3)o2)cc(F)cc1[N+](=O)[O-],CC1=C(C=C(C=C1[N+](=O)[O-])F)C2=CC=C(O2)C=O,4.958684967526898,2.7599
50245,CN1N(Cl)C(OC(=O)c2ccccc2)=C(F)C1(C(=O)C(O)C1(C(F)(F)F)C(F)=C(OC(=O)c2ccccc2)N(Cl)N1C)C(F)(F)F,CN1C(C(=C(N1Cl)OC(=O)C2=CC=CC=C2)F)(C=O)C(F)(F)F,-2.7033718658332324,5.5065
156651,NC(=O)C1CCCN(c2cccc(F)c2C(=O)C(O)c2c(F)cccc2N2CCCC(C(N)=O)C2)C1,C1CC(CN(C1)C2=C(C(=CC=C2)F)C=O)C(=O)N,7.333799382225301,3.9545
81901,CN(C)Cc1cc(-c2cccc3cc(C(=O)N4CCCC(F)C4)ccc23)ccc1C(=O)C(O)c1ccc(-c2cccc3cc(C(=O)N4CCCC(F)C4)ccc23)cc1CN(C)C,CN(C)CC1=C(C=CC(=C1)C2=CC=CC3=C2C=CC(=C3)C(=O)N4CCCC(C4)F)C=O,10.757116184485936,3.1356
94983,O=C(OF)c1cnc2cc(COCC(=O)C(O)COCc3ccn4c(C(=O)OF)cnc4c3)ccn12,C1=CN2C(=NC=C2C(=O)OF)C=C1COCC=O,1.2941434378575765,1.206
12687,CC(CC(N)C(=O)O)C(=O)C(O)C(C)CC(N)C(=O)O,C[C@H](C[C@@H](C(=O)O)N)C=O,-3.033711267228441,-12.1531
201471,O=C(Nc1ccccc1C(=O)C(O)c1ccccc1NC(=O)c1ccccc1[N+](=O)[O-])c1ccccc1[N+](=O)[O-],C1=CC=C(C(=C1)C=O)NC(=O)C2=CC=CC=C2[N+](=O)[O-],8.769108788983399,6.5796
22515,O=C(c1c(Cl)[nH]c2ccc(O)cc12)C(O)c1c(Cl)[nH]c2ccc(O)cc12,C1=CC2=C(C=C1O)C(=C(N2)Cl)C=O,11.734483426695396,9.171
162600,CC(C)CCn1cc(C(=O)C(O)c2cn(CCC(C)C)nc2-c2ccc(C#N)c(F)c2)c(-c2ccc(C#N)c(F)c2)n1,CC(C)CCN1C=C(C(=N1)C2=CC(=C(C=C2)C#N)F)C=O,5.403214700079332,5.7506
199068,CCOc1cc(C(=O)C(O)c2cc(I)c(OCC(=O)N3CCCC3)c(OCC)c2)cc(I)c1OCC(=O)N1CCCC1,CCOC1=C(C(=CC(=C1)C=O)I)OCC(=O)N2CCCC2,8.26749456910153,8.3755
66491,O=C(c1nc(C(F)(F)F)sc1CCO)C(O)c1nc(C(F)(F)F)sc1CCO,C(CO)C1=C(N=C(S1)C(F)(F)F)C=O,5.574820431574037,5.1113
108033,CN(C)c1cccc2c(S(=O)(=O)Nc3ccc(NC(=O)C(C)(C)C(=O)C(O)C(C)(C)C(=O)Nc4ccc(NS(=O)(=O)c5cccc6c(N(C)C)cccc56)cc4)cc3)cccc12,CC(C)(C=O)C(=O)NC1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC3=C2C=CC=C3N(C)C,11.1169845542164,-1.0745
7647,O=C(c1c(Cl)[nH]c2cc(Cl)ccc12)C(O)c1c(Cl)[nH]c2cc(Cl)ccc12,C1=CC2=C(C=C1Cl)NC(=C2C=O)Cl,8.809644945254947,7.5758
80831,CN(C)c1cc2c(cc1Cc1cccc(Cl)c1F)c(=O)c(C(=O)C(O)c1cn(CCO)c3cc(N(C)C)c(Cc4cccc(Cl)c4F)cc3c1=O)cn2CCO,CN(C)C1=CC2=C(C=C1CC3=C(C(=CC=C3)Cl)F)C(=O)C(=CN2CCO)C=O,21.66445147555091,9.7836
28137,Cc1cc(C)c(CNC(=O)C2CCN(c3ccc(C(=O)C(O)c4ccc(N5CCC(C(=O)NCc6c(C)cc(C)[nH]c6=O)CC5)cc4)cc3)CC2)c(=O)[nH]1,CC1=CC(=C(C(=O)N1)CNC(=O)C2CCN(CC2)C3=CC=C(C=C3)C=O)C,14.134739309458428,8.5295
160907,Cc1cc(-c2ccc(C(=O)C(O)c3ccc(-c4cc(C)c(F)cc4Cl)c(Cl)c3)cc2Cl)c(Cl)cc1F,CC1=CC(=C(C=C1F)Cl)C2=C(C=C(C=C2)C=O)Cl,6.312312372679424,5.5805
202001,O=C1CCCC(CC(=O)C(O)CC2CCCC(=O)C2)C1,C1CC(CC(=O)C1)CC=O,-0.6803977515947399,0.7869
135840,CCC(CC)n1cc(C(=O)C(O)c2cn(C(CC)CC)nc2-c2cc(F)c(Cl)cc2Cl)c(-c2cc(F)c(Cl)cc2Cl)n1,CCC(CC)N1C=C(C(=N1)C2=CC(=C(C=C2Cl)Cl)F)C=O,10.074693871032697,5.2115
10749,Cc1cc(C(=O)C(O)c2cc(C)c(Cl)s2)sc1Cl,CC1=C(SC(=C1)C=O)Cl,4.354524751372801,1.7826
79813,Nc1ncc(-c2ccc(C(=O)C(O)c3ccc(-c4cnc(N)c(CCc5c(F)cccc5F)n4)cc3)cc2)nc1CCc1c(F)cccc1F,C1=CC(=C(C(=C1)F)CCC2=NC(=CN=C2N)C3=CC=C(C=C3)C=O)F,9.842519223831328,8.1285
136989,CC(CCc1ccc(F)cc1Br)C(=O)C(O)C(C)CCc1ccc(F)cc1Br,CC(CCC1=C(C=C(C=C1)F)Br)C=O,-2.651555832405562,1.052
61569,CC1CCCC(C)(C)C1(C(=O)C(O)C1(c2ccc(Cl)c(F)c2)C(C)CCCC1(C)C)c1ccc(Cl)c(F)c1,C[C@H]1CCCC([C@@]1(C=O)C2=CC(=C(C=C2)Cl)F)(C)C,30.46050980069923,28.7428
129876,O=C(c1ccc(C2OCCO2)cc1F)C(O)c1ccc(C2OCCO2)cc1F,C1COC(O1)C2=CC(=C(C=C2)C=O)F,2.2175328381534536,5.3521
162833,O=C(c1cncc(Oc2ccc(F)cc2Cl)c1)C(O)c1cncc(Oc2ccc(F)cc2Cl)c1,C1=CC(=C(C=C1F)Cl)OC2=CN=CC(=C2)C=O,5.288629372721787,3.0189
12398,CC(C)(C)OC(=O)N1CCC(C(=O)C(O)C2(C(F)(F)F)CCN(C(=O)OC(C)(C)C)CC2)(C(F)(F)F)CC1,CC(C)(C)OC(=O)N1CCC(CC1)(C=O)C(F)(F)F,10.379910479778,12.5046
61115,COc1ccc(C(=O)C(F)C(F)C(=O)C(O)C(F)C(F)C(=O)c2ccc(OC)c(C)c2)cc1C,CC1=C(C=CC(=C1)C(=O)C(C(C=O)F)F)OC,-8.093194295904997,3.5405
58677,O=C(CN1CCN(Cc2cc(OC(F)(F)F)cc(OC(F)(F)F)c2)CC1)C(O)CN1CCN(Cc2cc(OC(F)(F)F)cc(OC(F)(F)F)c2)CC1,C1CN(CCN1CC=O)CC2=CC(=CC(=C2)OC(F)(F)F)OC(F)(F)F,4.254255112959698,2.6525
33389,CCOc1cc(C(=O)C(O)c2cc(OCC)c(O)cc2F)c(F)cc1O,CCOC1=C(C=C(C(=C1)C=O)F)O,6.385963189326289,7.7302
107094,O=C(c1c(F)c(Cl)cc2c1NCC2)C(O)c1c(F)c(Cl)cc2c1NCC2,C1CNC2=C(C(=C(C=C21)Cl)F)C=O,11.50751898592284,9.4297
46149,COc1ccc(Cc2ccc(N)cc2)c(F)c1-c1cccc(CC(=O)C(O)Cc2cccc(-c3c(OC)ccc(Cc4ccc(N)cc4)c3F)c2)c1,COC1=C(C(=C(C=C1)CC2=CC=C(C=C2)N)F)C3=CC=CC(=C3)CC=O,0.3362803736874771,-7.9672
45860,CC1CN(c2c(C(=O)C(O)c3cc(C#Cc4cc5ccccc5s4)c(F)c(F)c3N3CC(C)OC(C)C3)cc(C#Cc3cc4ccccc4s3)c(F)c2F)CC(C)O1,CC1CN(CC(O1)C)C2=C(C(=C(C=C2C=O)C#CC3=CC4=CC=CC=C4S3)F)F,19.58487839310349,3.2698
15757,COc1ccc2c(c1)[nH]c1c3ccoc3c(C(=O)C(O)c3cc4c5ccc(OC)cc5[nH]c4c4ccoc34)cc21,COC1=CC2=C(C=C1)C3=C(N2)C4=C(C(=C3)C=O)OC=C4,8.73469633317419,6.1358
