feat,frac_na,n_unique,std,min,max,range,top_val_frac
acceptor_ald_mordred_WNSA1,0.024121819410042784,30130,51.27507271779162,14.06366999807082,333.12151027596855,319.05784027789775,0.0001442127426379395
acceptor_ald_mordred_WNSA3,0.024121819410042784,30130,9.639258830497603,-100.50181229638588,-3.8998644771161297,96.60194781926975,0.0001442127426379395
acceptor_ald_mordred_WNSA4,0.024121819410042784,30130,3.133857388132144,-30.32633283226641,-0.575234957461692,29.751097874804717,0.0001442127426379395
acceptor_ald_mordred_WPSA1,0.024121819410042784,30130,82.6381252113931,5.651897934927382,707.12334228011,701.4714443451826,0.0001442127426379395
acceptor_ald_mordred_WPSA3,0.024121819410042784,30130,5.240365828473235,0.6532163490948436,44.03463042090188,43.381414071807036,0.0001442127426379395
acceptor_ald_mordred_RNCG,0.024121819410042784,29852,0.09624646920091981,0.072103954948808,0.9154178963325028,0.8433139413836948,0.0001442127426379395
acceptor_ald_mordred_TASA,0.024121819410042784,30128,117.84629692911425,36.20909230391717,913.7391800314972,877.53008772758,0.0001442127426379395
acceptor_ald_mordred_GeomDiameter,0.0209975230803873,30213,3.0042582880745696,3.4534952691127514,28.72004533100923,25.26655006189648,0.00014375251566902422
acceptor_ald_mordred_Mor08,0.0209975230803873,30213,0.7459584468819156,-2.3611026536781203,6.8407021532076975,9.201804806885818,0.00014375251566902422
acceptor_ald_mordred_Mor09,0.0209975230803873,30213,0.8701843090968113,-3.2859463043308192,6.059459309872421,9.34540561420324,0.00014375251566902422
acceptor_ald_mordred_Mor16,0.0209975230803873,30213,0.3543410101660968,-1.821874989098198,2.457301394773123,4.279176383871321,0.00014375251566902422
acceptor_ald_mordred_Mor17,0.0209975230803873,30213,0.5189063380774607,-4.324757512551585,0.9116085322183968,5.236366044769982,0.00014375251566902422
acceptor_ald_mordred_Mor02m,0.0209975230803873,30213,6.667517411747243,-38.194822730374135,42.02367528724006,80.2184980176142,0.00014375251566902422
acceptor_ald_mordred_Mor04m,0.0209975230803873,30213,1.2446934090655266,-20.463076821031628,9.926461773071008,30.389538594102635,0.00014375251566902422
acceptor_ald_mordred_Mor07m,0.0209975230803873,30213,1.6458835975612283,-6.255530921865855,9.726871630122144,15.982402551987999,0.00014375251566902422
acceptor_ald_mordred_Mor08m,0.0209975230803873,30213,0.8705480239800948,-6.619736836175238,4.333677640151895,10.953414476327133,0.00014375251566902422
acceptor_ald_mordred_Mor11m,0.0209975230803873,30213,0.46338293081251064,-3.925113679877778,3.766129829622164,7.691243509499943,0.00014375251566902422
acceptor_ald_mordred_Mor18m,0.0209975230803873,30213,0.39912366095344415,-2.4997742014313884,1.1920178105499786,3.691792011981367,0.00014375251566902422
acceptor_ald_mordred_Mor24m,0.0209975230803873,30213,0.23740685725028735,-2.3985921339268126,1.7499878264527164,4.148579960379529,0.00014375251566902422
acceptor_ald_mordred_Mor25m,0.0209975230803873,30213,0.31723898633463604,-2.2411017655130827,2.245065257222722,4.486167022735804,0.00014375251566902422
acceptor_ald_mordred_Mor28m,0.0209975230803873,30213,0.179411675185596,-1.948010553900108,1.5169570707972495,3.4649676246973575,0.00014375251566902422
acceptor_ald_mordred_Mor30m,0.0209975230803873,30213,0.1640637290206912,-1.6465554832892633,1.052943083323054,2.6994985666123172,0.00014375251566902422
acceptor_ald_mordred_Mor03v,0.0209975230803873,30213,1.0647414630293253,-8.169862726358025,3.805336553416421,11.975199279774445,0.00014375251566902422
acceptor_ald_mordred_Mor04v,0.0209975230803873,30213,0.7633434373721211,-4.346786531316162,6.778561965623562,11.125348496939726,0.00014375251566902422
acceptor_ald_mordred_Mor12v,0.0209975230803873,30213,0.47194312848824177,-2.590796399279679,2.35424641277892,4.945042812058599,0.00014375251566902422
acceptor_ald_mordred_Mor20v,0.0209975230803873,30213,0.42595879049112306,-0.5538924497160217,2.9425778727663974,3.496470322482419,0.00014375251566902422
acceptor_ald_mordred_Mor28v,0.0209975230803873,30213,0.13157332008268027,-1.0674522773097672,0.5441606186231408,1.611612895932908,0.00014375251566902422
acceptor_ald_mordred_Mor02se,0.0209975230803873,30213,11.033392829375588,-7.110602412556873,87.79947065558262,94.9100730681395,0.00014375251566902422
acceptor_ald_mordred_Mor03se,0.0209975230803873,30213,2.7462814796143706,-22.25539134528924,9.335081970597956,31.590473315887195,0.00014375251566902422
acceptor_ald_mordred_Mor04se,0.0209975230803873,30213,2.3582423555289713,-6.557541876121373,32.535975974884,39.09351785100537,0.00014375251566902422
acceptor_ald_mordred_Mor06se,0.0209975230803873,30213,1.3896762536131528,-8.19745834319894,6.131899110097049,14.329357453295989,0.00014375251566902422
acceptor_ald_mordred_Mor22se,0.0209975230803873,30213,0.3455025445242487,-1.68070728667085,2.085733809190736,3.7664410958615857,0.00014375251566902422
acceptor_ald_mordred_Mor27se,0.0209975230803873,30213,0.3182170842806376,-1.8515966956646088,1.4010660142664049,3.2526627099310135,0.00014375251566902422
acceptor_ald_mordred_Mor18p,0.0209975230803873,30213,0.35632502025263124,-2.5237100717310894,0.4720934415672606,2.99580351329835,0.00014375251566902422
acceptor_ald_mordred_Mor22p,0.0209975230803873,30213,0.17983671690959774,-1.0034822928796134,1.128686742011322,2.1321690348909357,0.00014375251566902422
acceptor_ald_mordred_Mor24p,0.0209975230803873,30213,0.1432974805784951,-0.7655859270295841,0.8174571849994797,1.5830431120290638,0.00014375251566902422
acceptor_ald_mordred_Mor26p,0.0209975230803873,30213,0.1470582071533403,-0.886881999695966,0.8380688652226232,1.7249508649185894,0.00014375251566902422
acceptor_ald_mordred_AMW,0.0209975230803873,16575,2.1890726955405913,4.977911226702703,33.31511488906667,28.33720366236397,0.0011787706284859985
product_mordred_PNSA1,0.07059220896194551,33020,79.93625123715567,112.858704281059,726.445743624554,613.587039343495,3.0284675953967292e-05
product_mordred_PNSA5,0.07059220896194551,33020,16.36084444625145,-165.37594048884145,-12.758356798024522,152.61758369081693,3.0284675953967292e-05
