donor_id,acceptor_id,donor_smiles,acceptor_smiles
BPWJKBPCZNJBJW-UHFFFAOYSA-N,QPBGDEFXMMXIGF-PMKNUJBWSA-N,Cc1cc2c(cc1C)N(CC(O)C(O)C(O)C=O)C(=O)C(C(=O)NC(N)=O)N2,C=NN1CCCC(c2ccccc2C(F)(F)F)C1=NC/C=C/c1ccc(-n2cnc(C)c2)c(C=O)n1
QPBGDEFXMMXIGF-PMKNUJBWSA-N,BPWJKBPCZNJBJW-UHFFFAOYSA-N,C=NN1CCCC(c2ccccc2C(F)(F)F)C1=NC/C=C/c1ccc(-n2cnc(C)c2)c(C=O)n1,Cc1cc2c(cc1C)N(CC(O)C(O)C(O)C=O)C(=O)C(C(=O)NC(N)=O)N2
LSDSEWJZSCCGKH-AHQBEZROSA-N,ZAVMTBGDKUWHRU-UZCJZYLFSA-N,CCCC[C@@H](/C=C/[C@@](C)(CC=O)CCCC)c1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,CC1(C)[C@H]2C[C@H](CC=O)[C@@H](NC(=O)c3csc4ccc(OS(=O)(=O)c5ccccc5)cc34)[C@@H]1C2
ZAVMTBGDKUWHRU-UZCJZYLFSA-N,LSDSEWJZSCCGKH-AHQBEZROSA-N,CC1(C)[C@H]2C[C@H](CC=O)[C@@H](NC(=O)c3csc4ccc(OS(=O)(=O)c5ccccc5)cc34)[C@@H]1C2,CCCC[C@@H](/C=C/[C@@](C)(CC=O)CCCC)c1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
JIWNMLPXRVDNLM-OUPQRBNQSA-N,UKJFQWZJLSDFLL-UHFFFAOYSA-N,C/C=C\C=C/CCN(C)C1=CC(F)=CCC=C1Nc1ccc(Br)cc1C=O,O=Cc1c(Oc2cccc(-c3ccn[nH]3)c2)c(F)cc2c1ccn2SI
UKJFQWZJLSDFLL-UHFFFAOYSA-N,JIWNMLPXRVDNLM-OUPQRBNQSA-N,O=Cc1c(Oc2cccc(-c3ccn[nH]3)c2)c(F)cc2c1ccn2SI,C/C=C\C=C/CCN(C)C1=CC(F)=CCC=C1Nc1ccc(Br)cc1C=O
QHMPKJIHMROLLX-FAIUTGPOSA-N,LNCDZSYAWREEQM-IAXJKZSUSA-N,O=C[C@@H]1C2C(c3ccccc3)=CC[C@H]3Cc4ccccc4C(=O)C231,O=CCOC(=O)[C@@H]1CCC2CC(c3c(-n4cc(C(F)(F)F)nn4)ccc(Cl)c3F)=CC(=O)N21
LNCDZSYAWREEQM-IAXJKZSUSA-N,QHMPKJIHMROLLX-FAIUTGPOSA-N,O=CCOC(=O)[C@@H]1CCC2CC(c3c(-n4cc(C(F)(F)F)nn4)ccc(Cl)c3F)=CC(=O)N21,O=C[C@@H]1C2C(c3ccccc3)=CC[C@H]3Cc4ccccc4C(=O)C231
DOZJUGMRKXLMBX-FWQHRTSZSA-N,DESMJUIVDRYVGR-UHFFFAOYSA-N,C/C(=C\c1cc(F)cc(N2CCN(CC=O)CC2)c1)[C@H]1OC(=O)C[C@H](O)CC[C@H](C)C/C=C/[C@@H]1C,O=Cc1ccsc1-c1ccc(C2CCC3CCCCN32)cc1
DESMJUIVDRYVGR-UHFFFAOYSA-N,DOZJUGMRKXLMBX-FWQHRTSZSA-N,O=Cc1ccsc1-c1ccc(C2CCC3CCCCN32)cc1,C/C(=C\c1cc(F)cc(N2CCN(CC=O)CC2)c1)[C@H]1OC(=O)C[C@H](O)CC[C@H](C)C/C=C/[C@@H]1C
ORDLVCJEUWSMQQ-QUTSUCTLSA-N,IFMVMVCRSVOIAY-UHFFFAOYSA-N,N/C(=C\C(=Nc1ccc(S)cc1)C1C=CC(F)=CC1)CCCCCC=O,O=CC1NC2(c3cccc4cc[nH]c34)CCC1CC2
IFMVMVCRSVOIAY-UHFFFAOYSA-N,ORDLVCJEUWSMQQ-QUTSUCTLSA-N,O=CC1NC2(c3cccc4cc[nH]c34)CCC1CC2,N/C(=C\C(=Nc1ccc(S)cc1)C1C=CC(F)=CC1)CCCCCC=O
UDCTUROYUUENFP-UHFFFAOYSA-N,CLZASMWCUMBFSM-LICLKQGHSA-N,Cc1cc(Cl)cc(C=O)c1N1C=C2C(=O)NC(N3CCOCC3)NC2N1,C=C1CCC(NC)c2c3c(nc(/C=C(/F)CC)c21)-c1cc(C(C=O)CC)c(COC)c(=O)n1C3
CLZASMWCUMBFSM-LICLKQGHSA-N,UDCTUROYUUENFP-UHFFFAOYSA-N,C=C1CCC(NC)c2c3c(nc(/C=C(/F)CC)c21)-c1cc(C(C=O)CC)c(COC)c(=O)n1C3,Cc1cc(Cl)cc(C=O)c1N1C=C2C(=O)NC(N3CCOCC3)NC2N1
MHBOVIQJPSQPMK-UHFFFAOYSA-N,CJKJYIQUKHSAQY-UHFFFAOYSA-N,O=CCNCCNc1cccc2c(S(=O)(=O)O)cccc12,O=Cc1ccn(-c2ccc(Nc3cc4nc(S(=O)(=O)N5CCNCC5)ccc4cn3)c(F)c2)n1
CJKJYIQUKHSAQY-UHFFFAOYSA-N,MHBOVIQJPSQPMK-UHFFFAOYSA-N,O=Cc1ccn(-c2ccc(Nc3cc4nc(S(=O)(=O)N5CCNCC5)ccc4cn3)c(F)c2)n1,O=CCNCCNc1cccc2c(S(=O)(=O)O)cccc12
AOGQNVHLXIKCAN-UHFFFAOYSA-N,FPRFCVYABRWARQ-ACXHZZMFSA-N,CC(C)(C=O)CCCc1ccc2cc(O)c(N3C=C(O)NS3(=O)=O)c(F)c2c1,COc1ccc(N(N)/N=C(/C)C(C=O)C(=O)Nc2cccc(C(C)(F)F)c2)cc1-c1ccccn1
FPRFCVYABRWARQ-ACXHZZMFSA-N,AOGQNVHLXIKCAN-UHFFFAOYSA-N,COc1ccc(N(N)/N=C(/C)C(C=O)C(=O)Nc2cccc(C(C)(F)F)c2)cc1-c1ccccn1,CC(C)(C=O)CCCc1ccc2cc(O)c(N3C=C(O)NS3(=O)=O)c(F)c2c1
SRGWEZFRDSZNNC-UHFFFAOYSA-N,FPYLAJYYFJDRIK-UHFFFAOYSA-N,C=C(C)C#Cc1cc(O)c(C=O)cc1O[Si](C)(C)C(C)(C)C,O=Cc1cc(=O)c(OC(c2ccccc2)c2ccccc2)cn1OC(c1ccccc1)c1ccccc1
