pid,grp,new_scaffold_split,label_stored,gxtb_stored,dG_r2scan_kcal,dG_b973c_kcal,dG_gxtb_kcal,resid_gxtb,resid_b973c,repro_r2scan,repro_gxtb,gxtb_mode,error
explore_70236_24777,cross_explore_20260920,,,,-3.464379633314982,2.2751155408915125,-2.248710249012451,-1.2156693843025308,-5.739495174206494,,,cosmo,
explore_5407_101673,cross_explore_20260920,,,,2.2957890738201776,8.159219064320608,7.044954064276527,-4.749164990456349,-5.86342999050043,,,cosmo,
explore_112078_151736,cross_explore_20260920,,,,6.285707884968502,10.633186775576954,9.25524956883491,-2.9695416838664084,-4.347478890608452,,,cosmo,
explore_20483_49668,cross_explore_20260920,,,,-0.0074756748728837,4.944017999699513,1.7596118905287184,-1.767087565401602,-4.951493674572397,,,cosmo,
explore_58315_127823,cross_explore_20260920,,,,-3.3473788562847475,2.3534345575270024,-0.5899783760168051,-2.7574004802679424,-5.700813413811749,,,cosmo,
explore_162318_178484,cross_explore_20260920,,,,-1.3083325878268084,3.5236740615740247,1.0270604689603442,-2.3353930567871526,-4.832006649400833,,,cosmo,
explore_107965_115421,cross_explore_20260920,,,,4.962865487242349,9.461919108201476,8.857282810784444,-3.8944173235420942,-4.499053620959127,,,cosmo,
explore_40404_111250,cross_explore_20260920,,,,0.8520089922732287,5.723457833135984,2.8677873963637115,-2.015778404090483,-4.871448840862755,,,cosmo,
explore_212690_9543,cross_explore_20260920,,,,1.4903142723434604,6.378298706297258,1.9189409219222475,-0.4286266495787869,-4.887984433953798,,,cosmo,
explore_143005_106290,cross_explore_20260920,,,,0.1876616480159471,6.146088139575542,1.8788266985344,-1.691165050518453,-5.958426491559595,,,cosmo,
explore_179675_97177,cross_explore_20260920,,,,-0.9772401211366696,3.5324015499622825,-2.0242593576999237,1.0470192365632538,-4.509641671098952,,,cosmo,
explore_144689_168669,cross_explore_20260920,,,,4.269372490282956,9.343754561740091,5.403170636437972,-1.1337981461550155,-5.074382071457135,,,cosmo,
explore_194973_201795,cross_explore_20260920,,,,7.660858632828291,12.859855984628176,7.229797006142114,0.4310616266861773,-5.198997351799885,,,cosmo,
explore_184414_120833,cross_explore_20260920,,,,0.9380639273144352,7.578618338118042,3.76682931741912,-2.8287653901046843,-6.640554410803607,,,cosmo,
explore_112350_84326,cross_explore_20260920,,,,2.956573205278232,6.566295115163483,2.322394175843429,0.6341790294348026,-3.609721909885252,,,cosmo,
explore_219539_153575,cross_explore_20260920,,,,-1.135587594342594,4.402596052379759,-0.5448782533536703,-0.5907093409889236,-5.538183646722353,,,cosmo,
explore_25873_172532,cross_explore_20260920,,,,-2.034764496280726,2.6789886683330177,1.9764749292790893,-4.011239425559815,-4.713753164613744,,,cosmo,
explore_93341_1183,cross_explore_20260920,,,,0.711944796878859,5.381633949528448,2.0007295238101324,-1.288784726931273,-4.669689152649589,,,cosmo,
explore_214098_193809,cross_explore_20260920,,,,2.3262761434621577,6.705413453757547,3.9600632198129326,-1.633787076350775,-4.379137310295389,,,cosmo,
explore_156460_180668,cross_explore_20260920,,,,2.128328597125608,8.213570254151852,2.9091308301096293,-0.7808022329840214,-6.085241657026245,,,cosmo,
explore_174291_212535,cross_explore_20260920,,,,3.793646124746087,8.915735596724543,4.317951662034203,-0.5243055372881162,-5.122089471978456,,,cosmo,
explore_152951_71179,cross_explore_20260920,,,,4.470093396772387,9.385692569334829,1.88811706952396,2.581976327248426,-4.915599172562442,,,cosmo,
explore_157829_175944,cross_explore_20260920,,,,9.14531486812384,13.776732932164862,4.511473704371399,4.633841163752441,-4.631418064041021,,,cosmo,
explore_90996_80018,cross_explore_20260920,,,,2.0277849835357373,6.985364866131373,4.267920100151076,-2.2401351166153387,-4.9575798825956365,,,cosmo,
explore_92196_92639,cross_explore_20260920,,,,-1.036713682550929,4.314271529961333,-0.936068392242138,-0.1006452903087912,-5.350985212512263,,,cosmo,
explore_127959_24871,cross_explore_20260920,,,,3.4634289898080293,8.499529941813998,5.698434515989494,-2.2350055261814643,-5.0361009520059685,,,cosmo,
explore_38752_89877,cross_explore_20260920,,,,0.6354639054155242,5.743070612752804,2.6417046064466208,-2.0062407010310963,-5.107606707337279,,,cosmo,
explore_164403_96030,cross_explore_20260920,,,,-5.288796581863865,1.8487942874432932,-1.7541403645528992,-3.5346562173109657,-7.137590869307159,,,cosmo,
explore_44086_188143,cross_explore_20260920,,,,3.2817495819191733,7.931866281069398,0.2258973745995388,3.0558522073196346,-4.6501166991502245,,,cosmo,
explore_155437_86377,cross_explore_20260920,,,,8.188462436963855,13.788000643640684,8.565874567809564,-0.377412130845709,-5.599538206676829,,,cosmo,
explore_181347_4612,cross_explore_20260920,,,,2.799227784405573,10.573007986366427,5.401651742348272,-2.6024239579426984,-7.773780201960855,,,cosmo,
