index,aldehyde_smiles,PubChem_CID,dG_xtb_kcal,dG_shermo_kcal,dG_orca_kcal
247861,C1=CC(=C(C=C1C=O)OC(F)(F)F)I,168442523,-11.0,-10.76,0.57
249274,C1=C(OC(=C1)C2=CC(=C(C(=C2)F)I)F)C=O,169331906,-11.43,-9.03,2.24
250443,CC(=O)SCC=CC1=C(C=C(C=C1)F)C=O,169457071,-9.31,-8.2,1.38
250456,CC(=O)SCC=CC1=CC(=C(C=C1F)C=O)F,169457532,-8.41,-8.13,5.72
250574,CC(C)(C)OC(=O)NCC=CC1=CC(=C(C=C1F)C=O)F,169467824,-5.89,-3.58,6.05
251806,CC1COC(=O)N1C2=NOC3=C2C=C(C(=C3F)F)C=O,169544895,-19.72,-19.48,-1.76
256469,CC(=O)C1=CC(=C(C(=C1)OC(F)F)I)C=O,171032053,-8.7,-8.34,-2.87
258716,C1=CC(=C(C=C1C2=CC(=C(C=C2C=O)F)F)Cl)F,172909479,-11.73,-13.14,-5.66
268969,CC1=CC2=C(C=C1)NC(=C2C=O)Cl,3614179,-5.52,-5.33,4.78
272328,C[C@@H]1CC[C@H](N1C(=O)OCC2=CC=CC=C2)C=O,11032197,-12.33,-12.26,-6.03
272718,C1=CC=C(C=C1)CO/N=C/C2=CC(=CC=C2)C=O,11195793,-8.89,-9.05,-0.63
273602,CN1C2=CC=CC=C2C(=C1SCC(=O)O)C=O,11543325,-7.93,-9.81,5.03
275066,CSC1=CC(=C(C=C1)O)C=O,12433397,-4.28,-3.81,8.34
275616,C1CC(=O)C=CC1C=O,12794100,-10.01,-9.86,0.45
275792,C1=CC(=CC=C1[N+](=O)[O-])SCC=O,12867562,-13.15,-13.35,-1.58
276530,CN1C(=NC(=N1)C2=CC=CC=C2)C=O,13224143,-13.07,-13.05,-1.58
276852,CSC1=C2C=CC=CC2=C(C3=CC=CC=C31)C=O,13375392,-10.34,-10.25,-3.29
278491,CN1C=CC(=C1C=O)/C(=C\OC)/C(=O)OC,14326191,3.45,3.3,13.11
280552,C1=CC=C(C=C1)S(=O)CC=O,15397472,-15.66,-15.95,-4.45
281379,CN1CC2=CC=CC=C2CC1C=O,15933732,-13.36,-13.27,-4.28
290662,C/C=C/OCOC1=CC=C(C=C1)C=O,19787731,-6.49,-6.42,5.22
