name,SMILES,molecular_formula,MW,InChIKey,PubChem_CID,cho_class,xtb_risk
"5-[[(3aR,5R,6S,6aR)-5-[(4R)-2,2-dimethyl-1,3-dioxolan-4-yl]-2,2-dimethyl-3a,5,6,6a-tetrahydrofuro[2,3-d][1,3]dioxol-6-yl]oxymethyl]-3-tert-butyl-2-hydroxybenzaldehyde",CC1(OC[C@@H](O1)[C@@H]2[C@@H]([C@@H]3[C@H](O2)OC(O3)(C)C)OCC4=CC(=C(C(=C4)C(C)(C)C)O)C=O)C,C24H34O8,450.5,LYZTWEYKLRCIMQ-QNDFHXLGSA-N,102513213,aromatic_carbo,
2-cyanoethyl 2-(N-[3-[2-[dimethylcarbamothioyl(methyl)amino]ethyl-methylamino]-3-oxopropyl]-4-formylanilino)propanoate,CC(C(=O)OCCC#N)N(CCC(=O)N(C)CCN(C)C(=S)N(C)C)C1=CC=C(C=C1)C=O,C23H33N5O4S,475.6,LSXPEOUIAGFCOO-UHFFFAOYSA-N,18342179,aromatic_carbo,
[6-(5-bromothiophen-2-yl)-1-formyl-6H-benzo[c]chromen-8-yl]methanesulfonamide,C1=CC(=C2C3=C(C=C(C=C3)CS(=O)(=O)N)C(OC2=C1)C4=CC=C(S4)Br)C=O,C19H14BrNO4S2,464.4,IJSPTKRNDMJNRO-UHFFFAOYSA-N,18504105,aromatic_carbo,
"2-[4-[(2R)-3-(4,6-dichlorocyclohexa-1,5-dien-1-yl)-2-(2-oxoimidazolidin-1-yl)propanoyl]piperazin-1-yl]-5-fluorobenzaldehyde",C1CN(C(=O)N1)[C@H](CC2=CCC(C=C2Cl)Cl)C(=O)N3CCN(CC3)C4=C(C=C(C=C4)F)C=O,C23H25Cl2FN4O3,495.4,KEUJJJOSCGJCHS-FBLFFUNLSA-N,163705614,aromatic_carbo,
"[(2R,3S,4R,5R,6S)-6-(4-formylphenoxy)-4,5-dihydroxy-2-(hydroxymethyl)oxan-3-yl] (E)-3-(3,4-dihydroxyphenyl)prop-2-enoate",C1=CC(=CC=C1C=O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)OC(=O)/C=C/C3=CC(=C(C=C3)O)O)O)O,C22H22O10,446.4,BKWKAIUBTKATHZ-NDHXDJGDSA-N,122194515,aromatic_carbo,
5-(2H-triazol-4-yl)-1-benzofuran-7-carbaldehyde,C1=COC2=C(C=C(C=C21)C3=NNN=C3)C=O,C11H7N3O2,213.19,UVWZQJOFXQNDLQ-UHFFFAOYSA-N,15428568,aromatic_carbo,
"[3-formyl-2,4,6-trimethyl-5-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)phenyl]methanesulfonyl fluoride",B1(OC(C(O1)(C)C)(C)C)C2=C(C(=C(C(=C2C)C=O)C)CS(=O)(=O)F)C,C17H24BFO5S,370.2,MVKVCZRQNXXKDG-UHFFFAOYSA-N,165772718,aromatic_carbo,boron
"6-bromo-2-[8-fluoro-6-(1-imino-2-methylpropan-2-yl)-1-oxoisoquinolin-2-yl]cyclohexa-1,5-dien-3-yne-1-carbaldehyde",CC(C)(C=N)C1=CC(=C2C(=C1)C=CN(C2=O)C3=C(C(=CC#C3)Br)C=O)F,C20H14BrFN2O2,413.2,NMYMNOZSEDZLSB-UHFFFAOYSA-N,144634823,aromatic_carbo,
"(2Z)-2-[(2E,4E)-5-(3,3-dimethylindol-2-yl)penta-2,4-dienylidene]-5-(2-fluoropropanoyl)-3,3-dimethyl-1H-indole-6-carbaldehyde",CC(C(=O)C1=CC2=C(C=C1C=O)N/C(=C\C=C\C=C\C3=NC4=CC=CC=C4C3(C)C)/C2(C)C)F,C29H29FN2O2,456.5,QNNZFQQBGDNWQV-VDGNBWHHSA-N,144970534,aromatic_carbo,
"4-(difluoromethyl)-3-[2-[2-[(Z)-3-iminoprop-1-enyl]-2,3-dihydro-1H-imidazol-4-yl]ethynyl]benzaldehyde",C1=CC(=C(C=C1C=O)C#CC2=CNC(N2)/C=C\C=N)C(F)F,C16H13F2N3O,301.29,DKDUDGKKIHKPFW-YZHSZULSSA-N,163520208,aromatic_carbo,
"4-[3-[(2E)-3,7-dimethylocta-2,6-dienyl]-2,6-dihydroxybenzoyl]-3-formyl-5-hydroxybenzoic acid",CC(=CCC/C(=C/CC1=C(C(=C(C=C1)O)C(=O)C2=C(C=C(C=C2O)C(=O)O)C=O)O)/C)C,C25H26O7,438.5,MLSVKXQHUTYXHD-VIZOYTHASA-N,38361890,aromatic_carbo,
