SMILES,PubChem_CID,cluster
C1=CC(=C(C=C1C=O)OCF)Cl,166516949,166
CCC(C1=NC2=C(N1C3=C(C=CC=C3OC(F)F)C=O)C=C(C=C2)C#CC4CC(C4)N)N(C)C,171805800,167
C1=C(OC(=C1)C(F)(F)F)C=O,7537665,168
C1=CC=C(C=C1)COC2=CC(=C(C=C2C=O)OCC3=CC=CC=C3)OCC4=CC=CC=C4,13214396,169
C1=C(C=C(C(=C1Cl)N2C=NC(=N2)C=O)Cl)C(F)(F)F,54216318,170
CC(C)C1=NC=CN1/C(=C(\COC2=CC=CC(=C2C=O)O)/C=C)/N=C(\C)/F,145420026,171
C1=CC=C(C(=C1)N2C(=C(C(=N2)C3=CC(=CC(=C3)F)F)C=O)Cl)F,87406365,172
CCOC1=C(C=C(C=C1)C=O)OCC,74847,173
C1=CC(=C(C(=C1)F)F)C2=C(C=CN=C2C3=C(C(=CC=C3)F)F)C=O,133093649,174
C1=C[N+](=C(C=C1[N+](=O)[O-])C=O)[O-],12424863,175
C1CC1SC2=C(C=C(C=C2)C=O)F,84666925,176
C[C@@H]1CN(C[C@@H](N1CC(C=O)C2=CC(=C(C(=C2)F)C3CC3)F)C)C4=NN=C(C=C4)Cl,167119952,177
CC(=O)NC(CS)C=O,18328530,178
C1CC1N2C=NN=C2C=O,83872252,179
C1=CC2=C(C(=C1)F)C(=C(N2F)C3=C(C=CC=C3F)F)C=O,87406395,180
C1=CC=C(C(=C1)CN2C=NN=C2C=O)F,83882209,181
CC1=CC(=NC(=N1)C=O)C2=CC(=CC=C2)F,116894444,182
CC1(C(NC2=NC(=NC(=C21)C3CC3)C4=NN(C5=C4C=CC=N5)CC6=CC=CC=C6F)C=O)C,174683114,183
CN(CC=C)C1=C(C=C(C=C1)F)C=O,81812846,184
CC(C=O)C1=CC(=C(C=C1OC)F)F,165779761,185
CN1C(=C(C=N1)C=O)C2CC2F,153470378,186
COC1=CC=C(C=C1)[C@@](C=O)(C(F)(F)F)OC,16106851,187
CSCCCC=O,62000,188
CCCC1=CC=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C=O,14987390,189
CC1=C(C2=CC=CC=C2N1CC(=O)O)C=O,807121,190
C1=C(C=C(C=C1OC(F)F)I)CCC=O,134621588,191
B1=CC(=C(C=C1)C=O)F,88664440,192
C1=CC(=CC(=C1)OCC2=CC(=CC(=C2)F)F)C=O,91636287,193
C1C2CN(C(N2CC1O)C=O)C3=CC=C(C=C3)OCC(F)(F)F,174810597,194
C1=C(C(=CC(=C1F)F)F)CCC=O,53434264,195
COC1=CC(=CC(=C1)C2=CC(=C(C=C2C=O)F)F)OC,172909485,196
CC1=CC(=C(C(=C1)F)C)C=O,84763320,197
CC1CS(=O)(=O)CCN1C2=CC(=CC(=C2)C=O)F,106529420,198
CC(C)(C)OC(=O)NCC(CF)C=O,105457206,199
COC1=CC(=C(C(=C1F)CCC=O)F)OC,117332128,200
C1CN(CCC1C(=O)N2[C@@H](CC=N2)C3=CC=C(C=C3)F)CC=O,134497576,201
C1=CC=C(C=C1)C2=C(C(=C(C(=C2)C=O)C3=CC=CC=C3)C4=CC=CC=C4)C5=CC=CC=C5,85819779,202
CSC1=C(C=C(C=C1)C(CBr)C=O)F,174661998,203
C1C=CC=C1CCC=O,12934694,204
CC(=O)C1=C(C=CC(=C1)C(F)(F)F)C=O,151269386,205
CC(C)(C)OC(=O)N1CCC(CC1)C(F)(F)SC2=CC=CC=C2C=O,169867210,206
C1C(N(C2=C1C=CC(=C2)C(F)(F)F)C(F)(F)F)C=O,174937158,207
CN1C=C2C(=CC1C=O)CN=C(C3=C2C=C(C=C3)N)C4=CC=C(C=C4)F,139484752,208
C1C[C@H](N(C1)F)C=O,54216302,209
C1=C(NC(=CC1=O)C(F)F)C=O,118820445,210
CC(CNC1=CC(=NC(=C1C=O)F)F)O,150632222,211
CC1=NC=CC(=C1)C2=C(C=CC(=C2)C=O)F,116170144,212
CC1CN(CC(N1)C)C(C=O)C2=CC=C(C=C2)OC(F)(F)F,87813151,213
C1CC1CN2C(=CC(=N2)C(F)(F)F)C=O,87691049,214
COC(=O)CC=CC1=CC(=C(C=C1F)C=O)F,170501206,215
COC1=CC(=C(C2=C(C(=CC(=C12)OC)C=O)OC)OC)OC,16091253,216
CN1C(CC=C2C1=C(C(=C3C2=CC=N3)C(F)(F)F)C=O)CC(F)(F)F,141055441,217
CCCOC1=CC(=C(C=C1)C=O)OCCF,79035552,218
C1[C@@H]([C@H](CN1CC(=O)O)C2=CC(=CC=C2)F)C=O,20664103,219
CN1C(=O)C(=C(N1)C2=CC(=CC=C2)C(F)(F)F)C=O,118538297,220
C1CC(=O)CC(=O)C1C2=CC(=C(C=C2)N3CCC(CC3)C=O)F,169011684,221
COCCNC1=CC(=NC=C1C#N)NC(=O)N2CCCC3=CC(=C(N=C32)C=O)N4C=CN=C4,118036655,222
C1=CC(=C(C=C1NC(=O)C2=NC=C(C=C2)Cl)C=O)F,90238114,223
C1=CN(C(=C1)C=O)CC(=O)NC2=CC=C(C=C2)F,65810379,224
C1=CC=C(C=C1)C(=NCCC=O)C2=CC=CC=C2,11447740,225
