donor_id,acceptor_id,donor_smiles,acceptor_smiles
VUHDYRBGSHBADR-UHFFFAOYSA-N,PVZPKYJUVFDRIB-UHFFFAOYSA-N,O=Cc1ccc(-c2noc(-c3cn4cc(C(F)(F)F)cc(Br)c4n3)n2)c(Cl)c1,COc1c(O)c(Cl)cc(C=O)c1Cl
PVZPKYJUVFDRIB-UHFFFAOYSA-N,VUHDYRBGSHBADR-UHFFFAOYSA-N,COc1c(O)c(Cl)cc(C=O)c1Cl,O=Cc1ccc(-c2noc(-c3cn4cc(C(F)(F)F)cc(Br)c4n3)n2)c(Cl)c1
CKRYWJSYCUJWIE-SFHVURJKSA-N,AYMIQJQHWDGLAS-APWZRJJASA-N,O=Cc1ccc2ccccc2c1N1CCCC[C@H]1CNc1cnc2cc(F)c(F)cc2n1,Cc1cc(C)nc(N[C@H]2CCCN(c3ccc(-c4ncccn4)c(C=O)c3F)[C@@H]2C)n1
AYMIQJQHWDGLAS-APWZRJJASA-N,CKRYWJSYCUJWIE-SFHVURJKSA-N,Cc1cc(C)nc(N[C@H]2CCCN(c3ccc(-c4ncccn4)c(C=O)c3F)[C@@H]2C)n1,O=Cc1ccc2ccccc2c1N1CCCC[C@H]1CNc1cnc2cc(F)c(F)cc2n1
PUXGVWIAVAQYSF-UHFFFAOYSA-N,BDCMTVHBCWUFLG-UHFFFAOYSA-N,CCOC(=O)c1c(O)cccc1C=O,COCCNC(=O)Cc1c(C)c2cc(OC)c(O)c(C=O)c2oc1=O
BDCMTVHBCWUFLG-UHFFFAOYSA-N,PUXGVWIAVAQYSF-UHFFFAOYSA-N,COCCNC(=O)Cc1c(C)c2cc(OC)c(O)c(C=O)c2oc1=O,CCOC(=O)c1c(O)cccc1C=O
SRYURSBDJMYTOQ-UHFFFAOYSA-N,JNUVUJGJPIMGFE-UHFFFAOYSA-N,O=Cc1ccc(-c2ccc(CCC3CCCCC3)c(F)c2)c2cccnc12,CCOC(=O)c1c(C#N)cc(C(F)(F)F)cc1C=O
JNUVUJGJPIMGFE-UHFFFAOYSA-N,SRYURSBDJMYTOQ-UHFFFAOYSA-N,CCOC(=O)c1c(C#N)cc(C(F)(F)F)cc1C=O,O=Cc1ccc(-c2ccc(CCC3CCCCC3)c(F)c2)c2cccnc12
TYLUJZMTWWZRGT-UHFFFAOYSA-N,PVQFZQUGKIAVRT-UHFFFAOYSA-N,COc1cc(F)c(C(=O)Nc2c(Cl)cc(C=O)cc2Cl)cc1OC1CCCC1,NC(=O)C=Cc1ccc(C=O)c(F)c1
PVQFZQUGKIAVRT-UHFFFAOYSA-N,TYLUJZMTWWZRGT-UHFFFAOYSA-N,NC(=O)C=Cc1ccc(C=O)c(F)c1,COc1cc(F)c(C(=O)Nc2c(Cl)cc(C=O)cc2Cl)cc1OC1CCCC1
IFSVDNYGDIPKEX-UHFFFAOYSA-N,LDVQTLSRHXSKOL-UHFFFAOYSA-N,O=Cc1cc(C=Cc2ccc(OCC3CC3)cc2)cc(F)c1O,CCCCCCCCCOC(=O)CCCCCCCCC(=O)Oc1ccc(C=O)cc1
LDVQTLSRHXSKOL-UHFFFAOYSA-N,IFSVDNYGDIPKEX-UHFFFAOYSA-N,CCCCCCCCCOC(=O)CCCCCCCCC(=O)Oc1ccc(C=O)cc1,O=Cc1cc(C=Cc2ccc(OCC3CC3)cc2)cc(F)c1O
YKZWLIFJZIJNKY-UHFFFAOYSA-N,YLRSSTPFVKTTNC-UHFFFAOYSA-N,Cc1cc(C=O)c2nn(CC(C)(C#N)NC(=O)c3ccc(OC(F)(F)F)cc3)nc2c1,COc1ccc(COc2ccc(F)c(OCc3ccccc3)c2C=O)cc1
YLRSSTPFVKTTNC-UHFFFAOYSA-N,YKZWLIFJZIJNKY-UHFFFAOYSA-N,COc1ccc(COc2ccc(F)c(OCc3ccccc3)c2C=O)cc1,Cc1cc(C=O)c2nn(CC(C)(C#N)NC(=O)c3ccc(OC(F)(F)F)cc3)nc2c1
QYGIKDWXTMCEEW-UHFFFAOYSA-N,WVAQQBXSIIARHR-UHFFFAOYSA-N,O=Cc1ccc(F)cc1-c1ccoc1,O=Cc1ccc(Oc2ccc(F)c(Br)c2)c([N+](=O)[O-])c1
WVAQQBXSIIARHR-UHFFFAOYSA-N,QYGIKDWXTMCEEW-UHFFFAOYSA-N,O=Cc1ccc(Oc2ccc(F)c(Br)c2)c([N+](=O)[O-])c1,O=Cc1ccc(F)cc1-c1ccoc1
LBEDPTYSTFMVDX-UHFFFAOYSA-N,LSLCGODJKYBTOE-UHFFFAOYSA-N,CCCc1ccc(-c2c(-c3ccc(C(F)(F)F)cc3)cc(F)c(C=O)c2F)cc1,CC1CCCCCN1c1cccc(F)c1C=O
LSLCGODJKYBTOE-UHFFFAOYSA-N,LBEDPTYSTFMVDX-UHFFFAOYSA-N,CC1CCCCCN1c1cccc(F)c1C=O,CCCc1ccc(-c2c(-c3ccc(C(F)(F)F)cc3)cc(F)c(C=O)c2F)cc1
GTMFIRJLBBXARD-UHFFFAOYSA-N,FUOJOQDZOADYCR-UHFFFAOYSA-N,O=Cc1ccc(F)cc1OCc1ccccc1,O=Cc1ccc(-c2cccc(OCc3ccccc3)c2)cc1OCC(F)F
FUOJOQDZOADYCR-UHFFFAOYSA-N,GTMFIRJLBBXARD-UHFFFAOYSA-N,O=Cc1ccc(-c2cccc(OCc3ccccc3)c2)cc1OCC(F)F,O=Cc1ccc(F)cc1OCc1ccccc1
XPGWSOLLMKZDON-UHFFFAOYSA-N,HCOMZIZOKFSSEH-UHFFFAOYSA-N,C=CC(F)(F)Oc1ccc(-c2cc(C=O)cc(OC(F)(F)F)c2)cc1F,O=Cc1cc(F)c(OCC(F)F)c(Br)c1
HCOMZIZOKFSSEH-UHFFFAOYSA-N,XPGWSOLLMKZDON-UHFFFAOYSA-N,O=Cc1cc(F)c(OCC(F)F)c(Br)c1,C=CC(F)(F)Oc1ccc(-c2cc(C=O)cc(OC(F)(F)F)c2)cc1F
SKWADSBDJMOUSL-UHFFFAOYSA-N,UQOITJYNCZIWCB-UHFFFAOYSA-N,Cc1nn(-c2ccc(C=O)c(O)c2)nc1-c1ccccc1,O=Cc1ccc(Oc2ccc(O)cc2)c(C(F)(F)F)c1
UQOITJYNCZIWCB-UHFFFAOYSA-N,SKWADSBDJMOUSL-UHFFFAOYSA-N,O=Cc1ccc(Oc2ccc(O)cc2)c(C(F)(F)F)c1,Cc1nn(-c2ccc(C=O)c(O)c2)nc1-c1ccccc1
CCRDXZGFEZQDRL-QHLKIINSSA-N,VFEJCQSLGZGGLT-UHFFFAOYSA-N,COc1cc(O)cc(C(=O)c2c(O)cc(C)c3c2O[C@@]2(C)OC[C@H](C)[C@H]2C3)c1C=O,CCCN(CC(F)(F)F)c1c(Cl)cccc1C=O
VFEJCQSLGZGGLT-UHFFFAOYSA-N,CCRDXZGFEZQDRL-QHLKIINSSA-N,CCCN(CC(F)(F)F)c1c(Cl)cccc1C=O,COc1cc(O)cc(C(=O)c2c(O)cc(C)c3c2O[C@@]2(C)OC[C@H](C)[C@H]2C3)c1C=O
NCYZGDNAURQEMU-UHFFFAOYSA-N,CTSYMGKKRHIYIH-UHFFFAOYSA-N,CCOC(=O)c1c(C)cc(C=O)c(NC(=O)c2ccccc2F)c1C,O=Cc1ccc(C(F)(F)F)cc1[N+](=O)[O-]
CTSYMGKKRHIYIH-UHFFFAOYSA-N,NCYZGDNAURQEMU-UHFFFAOYSA-N,O=Cc1ccc(C(F)(F)F)cc1[N+](=O)[O-],CCOC(=O)c1c(C)cc(C=O)c(NC(=O)c2ccccc2F)c1C
AERBPVKCWDAIIB-UHFFFAOYSA-N,JASFYLCGBIKWNT-ZDUSSCGKSA-N,CC(=O)Nc1ccccc1Oc1cccc(F)c1C=O,C[C@H](OC(=O)COc1ccc(C=O)cc1)C(=O)NCc1ccc(F)cc1
JASFYLCGBIKWNT-ZDUSSCGKSA-N,AERBPVKCWDAIIB-UHFFFAOYSA-N,C[C@H](OC(=O)COc1ccc(C=O)cc1)C(=O)NCc1ccc(F)cc1,CC(=O)Nc1ccccc1Oc1cccc(F)c1C=O
GNHLBYCZBGGVDJ-UHFFFAOYSA-N,DCLKRBSBZAEWBK-UHFFFAOYSA-N,CCOC(=O)Cc1cc(C=O)c(C(F)(F)F)cc1C#N,O=Cc1ccc(C(F)(F)F)cc1C1CCC2(CNC2)C1
DCLKRBSBZAEWBK-UHFFFAOYSA-N,GNHLBYCZBGGVDJ-UHFFFAOYSA-N,O=Cc1ccc(C(F)(F)F)cc1C1CCC2(CNC2)C1,CCOC(=O)Cc1cc(C=O)c(C(F)(F)F)cc1C#N
OVSKBSANDITPJP-UHFFFAOYSA-N,KGJSOQLNZOQSQV-UHFFFAOYSA-N,O=Cc1cccc(OC2CCC(F)(F)CC2)c1,Cn1nccc1CCOc1ccc(F)cc1C=O
KGJSOQLNZOQSQV-UHFFFAOYSA-N,OVSKBSANDITPJP-UHFFFAOYSA-N,Cn1nccc1CCOc1ccc(F)cc1C=O,O=Cc1cccc(OC2CCC(F)(F)CC2)c1
RLHMVKRLGVMAIE-UHFFFAOYSA-N,UPMWSCBOBUSVHY-UHFFFAOYSA-N,COC(=O)c1ccc(COc2ccc(OC)cc2C=O)nc1,COc1cccc(C(O)COc2c(F)cccc2C=O)c1
UPMWSCBOBUSVHY-UHFFFAOYSA-N,RLHMVKRLGVMAIE-UHFFFAOYSA-N,COc1cccc(C(O)COc2c(F)cccc2C=O)c1,COC(=O)c1ccc(COc2ccc(OC)cc2C=O)nc1
AGDNIICUNPJAJY-UHFFFAOYSA-N,LIZIYRVVNJDYTN-UHFFFAOYSA-N,O=Cc1cc(-c2cccc(C(=O)NCc3ccccc3)c2)ccc1O,CC1COCCN1c1ccc(F)cc1C=O
LIZIYRVVNJDYTN-UHFFFAOYSA-N,AGDNIICUNPJAJY-UHFFFAOYSA-N,CC1COCCN1c1ccc(F)cc1C=O,O=Cc1cc(-c2cccc(C(=O)NCc3ccccc3)c2)ccc1O
BPOOBTXCXAIQJQ-UHFFFAOYSA-N,BIOUKTNSVJINJZ-UHFFFAOYSA-N,O=Cc1c(Cl)cccc1Oc1ccccc1F,CC(C)(C)OC(=O)N1CCC(C(F)(F)S(=O)(=O)c2ccccc2C=O)CC1
BIOUKTNSVJINJZ-UHFFFAOYSA-N,BPOOBTXCXAIQJQ-UHFFFAOYSA-N,CC(C)(C)OC(=O)N1CCC(C(F)(F)S(=O)(=O)c2ccccc2C=O)CC1,O=Cc1c(Cl)cccc1Oc1ccccc1F
HPRQXUGJVLNHTE-UHFFFAOYSA-N,WWCUSUVBHZIZRX-UHFFFAOYSA-N,O=Cc1ccc(CC2CCCC2)cc1,COc1cc(OC)c2[nH]c(C(=O)O)cc2c1C=O
WWCUSUVBHZIZRX-UHFFFAOYSA-N,HPRQXUGJVLNHTE-UHFFFAOYSA-N,COc1cc(OC)c2[nH]c(C(=O)O)cc2c1C=O,O=Cc1ccc(CC2CCCC2)cc1
FKMOAZYMWFCEAF-UHFFFAOYSA-N,XAERJJRGAWIBKY-UHFFFAOYSA-N,O=Cc1cc(C(=O)O)c(Nc2ccc3sccc3c2)c(F)c1F,CCN(c1cccc(F)c1)c1ccc(C=O)cc1C
XAERJJRGAWIBKY-UHFFFAOYSA-N,FKMOAZYMWFCEAF-UHFFFAOYSA-N,CCN(c1cccc(F)c1)c1ccc(C=O)cc1C,O=Cc1cc(C(=O)O)c(Nc2ccc3sccc3c2)c(F)c1F
FHHPVYWDUMVQJX-UHFFFAOYSA-N,OUKTUVAWFXVHNR-MWLCHTKSSA-N,O=Cc1cc(F)c(F)cc1C(O)C(=O)O,C[C@@H]1OC[C@H](COc2ccccc2C=O)O1
OUKTUVAWFXVHNR-MWLCHTKSSA-N,FHHPVYWDUMVQJX-UHFFFAOYSA-N,C[C@@H]1OC[C@H](COc2ccccc2C=O)O1,O=Cc1cc(F)c(F)cc1C(O)C(=O)O
NPHHCAGJTCKHMZ-UHFFFAOYSA-N,VQDJGMNNQPROCJ-UHFFFAOYSA-N,O=Cc1cccc(-c2cccc(F)c2)c1CO,COc1cc(C=O)c2cc(C)n(C(C)=O)c2c1O
VQDJGMNNQPROCJ-UHFFFAOYSA-N,NPHHCAGJTCKHMZ-UHFFFAOYSA-N,COc1cc(C=O)c2cc(C)n(C(C)=O)c2c1O,O=Cc1cccc(-c2cccc(F)c2)c1CO
FKVWZXOENWEHFN-UHFFFAOYSA-N,YOUXSCBHQKNTOL-UHFFFAOYSA-N,CC(Oc1ccc(C=O)cc1)C(=O)Nc1ccc(F)c(F)c1,CC(C)C(CF)c1cccc(C=O)c1
YOUXSCBHQKNTOL-UHFFFAOYSA-N,FKVWZXOENWEHFN-UHFFFAOYSA-N,CC(C)C(CF)c1cccc(C=O)c1,CC(Oc1ccc(C=O)cc1)C(=O)Nc1ccc(F)c(F)c1
XCFBJBBVHDDEPN-UHFFFAOYSA-N,AKZGFKKWHLVRIB-UHFFFAOYSA-N,COC(=O)COc1ccccc1-c1cc2cc(C=O)ccc2o1,Cc1ccc(-c2ccc(C=O)cc2F)c2ccccc12
AKZGFKKWHLVRIB-UHFFFAOYSA-N,XCFBJBBVHDDEPN-UHFFFAOYSA-N,Cc1ccc(-c2ccc(C=O)cc2F)c2ccccc12,COC(=O)COc1ccccc1-c1cc2cc(C=O)ccc2o1
QWBBIUZKPSPCGI-UHFFFAOYSA-N,KAIBNDXVCRJMSC-UHFFFAOYSA-N,O=Cc1cc(Cl)cc(-c2cn(Cc3ccc(-c4nnc(C(F)F)o4)cc3F)nn2)c1,COc1ccc(-c2[nH]c3ccc(F)cc3c2C=O)cc1OC
KAIBNDXVCRJMSC-UHFFFAOYSA-N,QWBBIUZKPSPCGI-UHFFFAOYSA-N,COc1ccc(-c2[nH]c3ccc(F)cc3c2C=O)cc1OC,O=Cc1cc(Cl)cc(-c2cn(Cc3ccc(-c4nnc(C(F)F)o4)cc3F)nn2)c1
HZNOPWKQZZXRIF-UHFFFAOYSA-N,GASAFKIJKKCDDQ-UHFFFAOYSA-N,CCOc1cc(C=O)ccc1F,CCCCCc1nc(C=O)ccc1F
GASAFKIJKKCDDQ-UHFFFAOYSA-N,HZNOPWKQZZXRIF-UHFFFAOYSA-N,CCCCCc1nc(C=O)ccc1F,CCOc1cc(C=O)ccc1F
MAAXWPXWTJJZDU-UHFFFAOYSA-N,RCOMZYINDQPMJG-UHFFFAOYSA-N,CC(C)N1CCN(Cc2ccc(F)c(C=O)c2)CC1,NCc1nc(F)cc(C(F)F)c1C=O
RCOMZYINDQPMJG-UHFFFAOYSA-N,MAAXWPXWTJJZDU-UHFFFAOYSA-N,NCc1nc(F)cc(C(F)F)c1C=O,CC(C)N1CCN(Cc2ccc(F)c(C=O)c2)CC1
NTEGCABTMKSSKM-UHFFFAOYSA-N,PYJGGZVEXSQYRU-UHFFFAOYSA-N,O=Cc1ccc(OCCOc2c(Cl)cc(OCC=C(Cl)Cl)cc2Cl)cc1,O=Cc1cccn1CCc1ccc(F)cc1
PYJGGZVEXSQYRU-UHFFFAOYSA-N,NTEGCABTMKSSKM-UHFFFAOYSA-N,O=Cc1cccn1CCc1ccc(F)cc1,O=Cc1ccc(OCCOc2c(Cl)cc(OCC=C(Cl)Cl)cc2Cl)cc1
RYSJAQSTIILRKM-UHFFFAOYSA-N,BPDFZGCHPUQPJZ-UHFFFAOYSA-N,COc1cc(C=O)cc(OC)c1O[Si](C)(C)C,COc1nccn2nc(-c3ccc(F)cc3)c(C=O)c12
