pid,grp,label_stored,gxtb_stored,error,dG_r2scan_kcal,dG_b973c_kcal,dG_gxtb_kcal,resid_gxtb,resid_b973c,repro_r2scan,repro_gxtb,gxtb_mode
MBDVTIVIOBOLDR-UHFFFAOYSA-N__GBYONEKVKONQAH-UHFFFAOYSA-N,hetero_hardtail,7.646843883272761,3.2859,,4.116946904393522,8.437203011530515,3.28589671036446,0.8310501940290624,-4.320256107136993,-3.529896978879239,-3.289635539971414e-06,cosmo
DGVOSAOXUJRINT-UHFFFAOYSA-N__JZEBIZSENOXNQJ-XMMPIXPASA-N,hetero_hardtail,11.78829720244179,2.4628,,3.266735940745722,7.331446505093946,2.462829906065776,0.803906034679946,-4.064710564348224,-8.521561261696068,2.990606577579769e-05,cosmo
VBUQVCNUAFTHCE-RAZAXZTQSA-N__KHXWBRBPYHSXTH-CKIVDRAYSA-N,hetero_hardtail,-6.495132016913575,-10.0013,,-2.789223050659439,3.583904551354025,-6.279326536521438,3.490103485861999,-6.373127602013465,3.705908966254136,3.7219734634785615,cosmo
POAOBAZVADLAIR-UHFFFAOYSA-N__AXUHVXNETATJCI-UHFFFAOYSA-N,control,4.741162670606369,3.2403,,2.773343063130812,7.621601156343385,3.631514989560421,-0.858171926429609,-4.848258093212573,-1.967819607475557,0.3912149895604209,cosmo
DWDBBWXFNOEALL-UHFFFAOYSA-N__KXMZVZSANYLVJL-QLYXXIJNSA-N,control,15.443281374928512,3.2013,,5.316797320824636,8.626303067408424,3.1686180460994997,2.148179274725137,-3.309505746583788,-10.126484054103877,-0.0326819539005005,cosmo
NYQCIDHZNFBQAK-SCSAIBSYSA-N__BJESSOFRDPVZBW-UHFFFAOYSA-N,control,-9.27197651676684,-2.4963,,-7.818038036039903,-0.4361819143690794,-2.4963520234490004,-5.321686012590902,-7.381856121670824,1.4539384807269364,-5.202344900023803e-05,cosmo
JRIOKBXQMHEJOZ-RSJOWCBRSA-N__VVVJWWHBXUASAA-UHFFFAOYSA-N,control,-2.070390612125099,2.8884,,-0.958574913394704,4.026573424481516,2.887723479767569,-3.8462983931622734,-4.98514833787622,1.1118156987303949,-0.0006765202324303,cosmo
WLTXYFHYNJZDPO-YYODJPADSA-N__NVUREPBDWVLORQ-UHFFFAOYSA-N,control,13.940793505860322,1.853,,4.603188585100533,10.539115257146555,1.855455050148532,2.747733534952001,-5.935926672046023,-9.337604920759787,0.0024550501485316,cosmo
OTLPCSJIDGYRJG-UHFFFAOYSA-N__CPNNNJZYRQEVNU-UHFFFAOYSA-N,control,16.55535360579704,5.3152,,6.500042377634435,11.023451750206114,5.316957485145489,1.1830848924889468,-4.523409372571678,-10.055311228162603,0.0017574851454886,cosmo
NGYYMLQTJUHGOE-UHFFFAOYSA-N__IVTFZSRXVLJEIZ-UHFFFAOYSA-N,control,20.38883172128928,13.0306,,7.209800464166746,12.062385908192343,13.19702011505852,-5.987219650891775,-4.852585444025597,-13.179031257122531,0.1664201150585214,cosmo
ZNAWWXGCVLDPOE-UHFFFAOYSA-N__XLYCASCOALLEHR-UHFFFAOYSA-N,control,-2.47267944525399,1.9327,,-2.98000618685871,2.4662329053198486,1.9327090167613508,-4.912715203620061,-5.446239092178558,-0.5073267416047202,9.016761350677529e-06,cosmo
