bdfe_gxtb_kcal,id,bde_gxtb_kcal
99.232,1031.0,86.836
135.101,1075.0,120.239
92.432,1044.0,84.819
84.803,1084.0,70.8
87.697,1046.0,78.503
90.781,1000.0,81.254
90.036,1077.0,81.487
89.494,1001.0,73.977
92.624,1110.0,90.704
91.002,1117.0,85.844
89.286,1111.0,80.045
96.786,1120.0,91.334
82.877,1107.0,71.237
91.846,1122.0,92.753
85.725,1106.0,74.128
91.213,1112.0,88.046
87.629,1119.0,82.448
91.76,1109.0,79.24
79.72,1130.0,83.028
90.48,1123.0,81.081
96.438,1127.0,94.14
86.871,1105.0,75.336
88.503,1129.0,93.96
75.583,1131.0,71.622
94.533,1128.0,86.437
89.257,1100.0,77.492
92.405,1102.0,76.554
93.485,1135.0,89.158
90.565,1101.0,75.898
91.426,1137.0,89.405
92.003,1139.0,85.573
80.488,1140.0,78.672
97.173,1118.0,88.857
,1116.0,
89.82,1143.0,95.55
88.519,1125.0,76.759
91.455,1136.0,87.404
89.711,1146.0,88.105
90.497,1145.0,85.997
93.154,1104.0,81.162
89.015,1133.0,91.279
87.768,1153.0,94.704
87.757,1114.0,88.553
90.728,1126.0,83.199
95.868,1154.0,93.853
89.467,1159.0,98.248
87.896,1149.0,93.779
93.466,1134.0,86.468
87.8,1157.0,81.952
89.91,1158.0,92.121
92.846,1147.0,88.258
89.148,1161.0,96.212
85.817,1113.0,73.409
94.679,1162.0,94.759
89.196,1124.0,87.902
89.88,1142.0,92.817
86.443,1168.0,93.451
71.355,1160.0,66.808
88.062,1172.0,86.047
,1170.0,
88.002,1169.0,93.443
95.509,1155.0,92.414
89.339,1173.0,90.231
98.989,1148.0,88.914
89.137,1176.0,87.055
89.846,1174.0,98.516
84.686,1177.0,87.099
89.47,1171.0,92.373
87.356,1180.0,92.871
89.566,1141.0,86.675
86.564,1163.0,86.991
88.922,1164.0,93.202
88.127,1181.0,93.343
88.83,1184.0,94.843
90.674,1183.0,96.234
91.373,1182.0,94.909
92.703,1121.0,88.489
85.517,1186.0,84.814
91.001,1138.0,81.878
87.113,1175.0,88.537
91.195,1187.0,92.816
87.196,1185.0,88.463
90.671,1188.0,88.891
89.188,1178.0,94.671
90.313,1191.0,94.612
89.184,1192.0,85.297
89.0,1156.0,89.018
92.727,1108.0,81.817
66.542,1166.0,65.315
98.645,1194.0,97.869
97.44,1199.0,94.585
87.889,1198.0,80.507
90.438,1190.0,91.742
95.216,1152.0,95.338
96.015,1193.0,90.572
96.156,1195.0,91.636
89.836,1196.0,86.545
89.259,1189.0,69.498
89.214,1167.0,90.173
87.371,1179.0,69.116
87.291,1132.0,80.265
93.782,1150.0,81.5
92.02,1197.0,86.524
87.525,1165.0,87.455
85.378,1151.0,71.463
88.056,1144.0,70.569
92.186,1099.0,80.601
92.034,1115.0,75.544
86.32,1211.0,
80.313,1212.0,
84.381,1216.0,
93.799,1201.0,
93.269,1218.0,
87.155,1220.0,
96.02,1209.0,
97.257,1202.0,
85.704,1224.0,
92.15,1226.0,
87.656,1221.0,
86.31,1200.0,
92.665,1229.0,
94.127,1214.0,
90.15,1204.0,
87.543,1228.0,
88.646,1232.0,
84.852,1231.0,
99.108,1203.0,
87.102,1227.0,
88.781,1238.0,
89.528,1230.0,
89.858,1239.0,
96.465,1205.0,
96.669,1219.0,
96.897,1241.0,
98.805,1217.0,
78.774,1237.0,
86.277,1242.0,
92.398,1247.0,
91.28,1245.0,
89.376,1236.0,
