ald_id,smiles,aldehyde_in_table,category,n_attempts,error_raw
122560,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=C(NC3=O)N)COC(CCC=O)C4=CC=CC=N4)O,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153672/cb_24128375_1224/cb_featurize_1268517/prod_122560/conf/ff176/input.xyz'
122582,CC(C)C1=C(C(=CC=C1)C(C)C)N=CC2=CC=C(N2)CN(C)CC3=CC=C(N3)C=O,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153700/cb_24128375_1225/cb_featurize_3334020/prod_122582/conf/ff006'
122589,C1=CC=C(C(=C1)C2=NC3=C(S2)C=C(C=C3)C=O)O,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153672/cb_24128375_1224/cb_featurize_1268517/prod_122589/conf/sp031'
122619,COC1=C(C=CC(=C1)C=O)OCN2C3=CC=CC=C3N=N2,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153700/cb_24128375_1225/cb_featurize_3334020/prod_122619/conf/ff319'
122741,CC(C)(C)[Si](C)(C)O[C@](CC=C)(C=O)C1=CC=CO1,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153723/cb_24128375_1226/cb_featurize_2195252/prod_122741/conf/ff339'
122794,C1=CC=C(C=C1)COC(=O)NC(CC=O)C2=CC=C(C=C2)C#N,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153728/cb_24128375_1227/cb_featurize_2197807/prod_122794/conf/sp302'
122826,CC(C)(CCC=O)C1CCC(=O)N1C2=CC=CC=C2,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153728/cb_24128375_1227/cb_featurize_2197807/prod_122826/conf/sp346'
122849,CCCCCC1=CC(=C(C(=C1)OC)C2C=C(CCC2C=O)C)OC,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153728/cb_24128375_1227/cb_featurize_2197807/prod_122849/conf/sp232'
122871,CC1=CC(=C(C=C1C)C[C@@H](CC=O)C2=CC=CC=C2)C,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153728/cb_24128375_1227/cb_featurize_2197807/prod_122871/conf/ff141'
122898,CC[C@@](C)(C/C=C/C1=CC=CC=C1)C=O,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153783/cb_24128375_1228/cb_featurize_3282607/prod_122898/conf/ff195/input.xyz'
