bdfe_gxtb_kcal,id,bde_gxtb_kcal
60.418,1183,61.885
55.78,1184,56.699
71.876,1185,68.545
55.026,1186,44.786
61.397,1187,56.557
72.445,1188,62.49
73.131,1189,31.914
72.232,1190,67.26
73.271,1191,72.45
59.57,1192,42.514
76.141,1193,69.02
71.73,1194,62.139
75.377,1195,65.162
60.705,1196,44.148
61.096,1197,41.64
57.672,1198,38.595
68.498,1199,54.295
57.655,1200,52.646
65.359,1201,57.476
70.118,1202,67.132
72.888,1203,61.698
58.847,1204,59.67
74.599,1205,66.766
61.232,1206,41.963
50.421,1207,34.052
,1208,
68.022,1209,62.469
60.834,1210,44.825
66.326,1211,73.692
51.637,1212,49.774
61.549,1213,42.593
62.666,1214,59.803
72.293,1215,49.13
50.981,1216,44.512
73.083,1217,50.659
58.147,1218,34.646
69.022,1219,63.697
56.929,1220,47.685
56.818,1221,49.665
56.546,1222,45.643
59.998,1223,57.237
52.192,1224,47.506
47.798,1225,31.135
60.512,1226,53.157
56.256,1227,43.129
57.393,1228,49.855
63.751,1229,61.162
59.316,1230,53.292
53.999,1231,49.482
59.085,1232,58.779
63.961,1233,54.636
57.866,1234,42.685
61.29,1235,54.572
58.936,1236,38.17
38.329,1237,22.458
57.619,1238,57.216
59.786,1239,55.91
54.553,1240,40.632
69.59,1241,53.908
51.051,1242,43.11
62.835,1243,49.17
58.705,1244,48.919
61.856,1245,60.179
62.285,1246,57.921
63.492,1247,62.383
61.844,1248,58.88
60.355,1249,54.278
75.224,1250,81.649
71.676,1251,58.8
65.724,1252,57.833
