index,SMILES,PubChem_CID,sel_method
194707,C1C(N(N=C1C2=CC=C(C=C2)F)C(=O)COC3=C(C=C(C=C3)Br)C=O)C4=CC=CS4,66488819,representative
251991,C1=CC(=C(C(=C1)C#CCCCl)F)C=O,170467659,representative
133201,C1=CC(=CC(=C1)O)C2=CC(=CC(=C2)C=O)C(F)(F)F,169272420,representative
189616,CN(CC1=CC=CC=C1F)C2=C(C=C(C=C2)C=O)F,61412167,representative
54199,COC1=C(C=C(C(=C1)C=O)Br)OCC2=C(C=C(C=C2)C(F)(F)F)C(F)(F)F,86668581,representative
235522,C1=CC(=C(C(=C1)F)CC(=O)O)C=O,130988515,representative
6561,CC1=CC=C(S1)C2=CC(=C(C(=C2)OC)O)C=O,59599707,representative
178468,C#CCOC1=C2C3=C(C=C1)C=CC(=O)C3=CC(=C2C4=CC=CC=C4)C=O,155936329,representative
72622,C1C(N(N=C1C(F)(F)F)C2=CC=CC=C2Cl)C3=CC=C(C=C3)C=O,89384558,representative
166562,CC(=O)OC1=C(C=C(C=C1OC)C=O)C(=O)C2CCCCC2,85965998,representative
126667,C1CN(CC1C2=C(C=C(C=C2)OS(=O)(=O)C(F)(F)F)C=O)C(=O)C3=NC=C(C=C3)F,166004313,representative
1406,CC1=C(C(=C2C(=C1O)C(=O)C=C(O2)C3=CC=CC=C3)C=O)O,194004,representative
21017,COC1=CC2=C(C=C1)C(=C(C=C2)C=O)Br,53984571,representative
34953,COC1=CC(=CC(=C1OCC2=CC=C(C=C2)F)OC)C=O,673161,representative
238623,C1=CC(=C(C(=C1C(F)(F)F)C=O)C#N)C(F)(F)F,134638666,representative
260527,CC(C)(C)OC(=O)C1=C(C=C(C=C1)C2=CC=CC(=C2)C=O)F,177930618,representative
83062,C1=CC(=C(C=C1COC2=CC(=CC(=C2)C=O)F)C(F)(F)F)C(F)(F)F,122476100,representative
24366,C1=CC(=C2C(=C1)SC3=C2C=C(C=C3)C(F)(F)F)C=O,101797862,representative
189157,C1=CC=C(C(=C1)C=O)OCC(=O)NC2=CC=CC(=C2)COC3=CC(=CC=C3)F,60513959,representative
280923,C1=CC=C(C(=C1)CCCCCCCCC2=CC=CO2)C=O,15617536,representative
138937,CC1C=C(C=CC1C2=CC=C(C=C2)C=O)F,172566196,representative
220810,C1C(C1(F)F)C2=CC=CC=C2C=O,115016082,representative
266731,CC(C)OCC1=C(C2=CC=CC=C2C(=C1C=O)OC)OC,44478286,representative
240902,COC(=O)C1=C(C=C(C=C1)OC(F)F)C=O,137939170,representative
47702,C1=CC(=CC(=C1)OC2=C(C=C(C=C2)C(F)(F)F)C=O)CC(=O)O,58237662,representative
172519,CC(C)(C)OC(=O)NC1=C(C=C(C2=CC=CC=C21)Br)C=O,134813981,representative
275463,CCNC1=CC=C(C=C1)C=O,12714578,representative
165861,C1=CC2=NC=C(N2C=C1)C3=CC=C(C=C3)C=O,57413905,representative
96843,C1=CC2=C(C=C1F)C=C(C=C2F)C=O,140125617,representative
12072,CC1=C(C(=NO1)C)C2=CC3=C(C(=C2)C(=O)N)N(C4=C3C=CC(=C4)C=O)CC5CC5,90375354,representative
277920,COC1=C(C(=C(C=C1)/C=C\2/C3=CC4=C(C=C3CCN2)OCO4)C=O)OC,13935637,representative
46355,C1=CC(=CC=C1C=O)OC2=CC3=C(C(=C2)F)N=C(N3)C(F)(F)F,57585847,representative
41063,C1=CC=C(C=C1)CC2=C(C=CC(=C2C#N)C=O)F,21682768,representative
96702,CC1(C2CCC1(C(C2)OC3=C(C(=CC(=C3)OC)F)C=O)C)C,140052849,representative
52054,COC1=CC(=C(C=C1)F)C2=CC=C(C=C2)C=O,83810232,representative
212203,C1=CC=C2C(=C1)C=C(C=N2)OC3=CC(=CC(=C3)C=O)F,107387479,representative
227958,C1=CC(=C(C(=C1C=O)C(F)F)C(F)(F)F)C(F)(F)F,118837673,representative
220234,CC(C)(C)C1=CCN(CC1)C2=C(C=C(C=C2F)C=O)F,114460448,representative
188927,C1=CC=C(C=C1)C2=C(C(=CC(=C2F)F)C=O)F,57327798,representative
236318,C1=CC(=C2C(=C1C=O)N=CN2)OC(F)(F)F,131523847,representative
223276,CC1=C2C(=CC(=CC2=NN1)C=O)F,117109575,representative
120043,CC[C@@H]1CSC(=O)N1C2=COC3=C2C=C(C(=C3F)N4C[C@H](O[C@@H](C4)C)C)C=O,156654692,representative
266397,CCOC(=O)COC1=C(C=C(C=C1I)C=O)I,16761338,representative
236201,CC1=CC(=C(C(=C1)F)OC(F)F)C=O,131376395,representative
11362,C[C@@H]1CCC(=O)[C@@H]([C@@]1(C)C[C@@H](/C(=C/CC2=C(C(=C(C(=C2O)Cl)C)C=O)O)/C)OC(=O)C)C,155448240,representative
158216,C1=CC(=C(C(=C1)Cl)CC2=CC(=C(C=C2)C=O)F)F,178141440,representative
230689,CNC1=C(C=C(C=N1)C2=CC=C(C=C2)C=O)C(F)(F)F,125512218,representative
235293,C1=CC(=C2C(=C1)SC(=C2F)I)C=O,130900311,representative
281538,COC1=CC(=C(C=C1C=O)C2=NC3=CC=CC=C3N2)OC,16116308,representative
120000,CN1C=NC(=N1)CC2(CC(C2)CC#N)C3=CC(=CC=C3)N4CC5=C(C4=O)C=C(C=C5C(F)(F)F)C=O,156624397,representative
252013,COC(=O)CC#CC1=C(C=CC(=C1)C=O)F,170469357,representative
50289,COC1=CC(=CC(=C1OCC(F)(F)F)OC)C=O,60771537,representative
111786,C1[C@@H]2CN(C1CO2)C3=NC4=C(C=NN4C=C3)C(=O)NC5=CN(N=C5C(F)F)C6=CC=C(C=C6)C=O,146599803,representative
154631,CC1=C(C=CC(=C1)C=O)N2CCC3=C(C2)C=C(C=C3)C(F)(F)F,176222610,representative
222540,CNC(=O)CCCOC1=CC(=CC(=C1)C=O)F,116451962,representative
189315,C1=CC(=CC=C1C2=CC(=C(C=C2)F)C=O)Cl,61025358,representative
180293,CCOC(=O)C1=C(C2=C(C=CC(=C2)Cl)N=C1CN3C=C(N=N3)C4=CC=C(C=C4)C=O)C5=CC=CC=C5,176509192,representative
36085,CC1=NC2=C(C=CC=C2NC(=O)C3CCN(CC3)C4=CC=C(C=C4)C=O)C=C1,177665642,representative
280328,CC1=CC(=C(C(=C1)O)C=O)C(C)(C)C,15243644,representative
166609,CC(C)(C)C1=CC=CC(=C1N(C)C(=O)NC2=CC=CC=C2)C=O,86064969,representative
186059,COC1=CC=CC(=C1OC(=O)C2=CC(=C(C=C2)F)F)C=O,39199961,representative
91957,C1=CC(=C(C=C1C=O)F)OCCCCCCNC(=O)O,134564711,representative
177116,C1=CC(=CC=C1C=O)C2=NC3=CC4=C(C=C3O2)N=C(O4)C5=CC=C(C=C5)S,139212408,representative
261460,CCOC1=C(C=CC(=C1)C=O)OCC(=O)NC2=CC(=C(C=C2)Br)C,1252714,representative
57087,CCCCOOC(=O)CC1=C(C2=CC(=C(C=C2C=C1C)C=O)F)OS(=O)(=O)C(F)(F)F,87279279,representative
73283,CC(C)(C)OC(=O)N1CCC2=C(C1)C=CC(=C2)C3=CC=CC(=C3F)C=O,89606593,representative
207322,CCC1=C(C=CC(=N1)C)OC2=C(C=C(C=C2F)C=O)F,103175119,representative
101610,C1=CC(=CC(=C1)OC2=C(C=C(C=N2)F)C(=O)N)C3=CC=CC(=C3O)C=O,142706329,representative
191282,CCN(CC1=CC=NC=C1)C2=C(C=C(C=C2F)C=O)F,63052408,representative
