index,SMILES,PubChem_CID,sel_method
167864,C1=CC=C(C=C1)N(C2=CC=CC=C2)C(=O)COC3=CC=CC4=C3N=C(C=C4)C=O,101562635,representative
220017,C1=CC=C2C(=C1)C(=CC=C2F)C3=NC=CC(=N3)C=O,114088862,representative
83601,C1CC1C2=C(N=C(O2)C3=CN=C(C=C3)C(F)(F)F)C=O,122477241,representative
155850,CC1=CC2=C(C(=N1)N[C@@H]3CCC4=CC(=C(C=C34)F)F)SC(=C2)C=O,176861071,representative
17019,C1=CC(=CC=C1C2=CC(=C(N=C2)Cl)CN3C=C(N=N3)C=O)F,118735819,representative
249765,CN1C=C(C=N1)COC2=C(C=C(C=C2)F)C3=CC=C(O3)C=O,169334136,representative
239904,C1=C(C(=NC(=C1OC(F)(F)F)I)C(F)(F)F)C=O,134669416,representative
73978,CC1=CC2=C(C=C1)NC(=C2C=O)C3=CC=CC=C3F,89859522,representative
185801,C1=C(C=C(C2=C1C(=O)C(=CO2)C=O)Br)F,30034673,representative
98795,C1CN(CCN1)C(=O)C2=NC(=CC(=C2)C=O)C(F)(F)F,141342004,representative
120815,CN(C)C1CN(C1)C2=NC=C(C=C2)N3C=C(C(=O)C4=CC(=C(C=C43)F)Cl)C=O,156848523,representative
100490,C1=C(C=NC(=C1CF)C=O)Br,142300260,representative
241810,C1=C(C=NC(=C1C(F)(F)F)C=O)N=C=S,153989208,representative
251138,COC(=O)C#CC1=C(C(=NC=C1)F)C=O,169523226,representative
22624,CC(=O)N(C1=CC=C(C=C1)C(F)(F)F)C2=NC(=CS2)C=O,45792132,representative
234115,COC1=C(C(=CN=C1C(F)F)N)C=O,130106128,representative
5448,CN(CC1=CC2=C(C=C1)N=C(NC2=O)C=O)C3=CC=C(S3)C(=O)NC(CCC(=O)O)C(=O)O,136058130,maxmin
6547,C[C@H]1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=C(C=C4)OC)CO)N5C=NC(=C5C=O)C,57463693,maxmin
86562,CCC/C=C\1/C(=C(\C=C(/C)\C2=CCC(C=C2)(C)F)/C3=CC(=C(C=C3)OC)OC)/C(=C(S1)C=O)N,126608247,maxmin
16358,C[C@]12CCC3C(C1CC[C@]2(C#C)O)CC[C@@H]4[C@@]3(CC5=C(C4)OC(=C5)C=O)C,44355926,maxmin
156264,C1CC(=O)NC(=O)C1C2=C(C=C(CC2F)C3CCN(CC3)C4=NC=C(C=N4)C=O)F,177027778,maxmin
102085,C/C=C\C(=NC(=C)C1=CC(=C(C(=C1)C(C)(F)F)Cl)C(C)(F)F)C2=CC(=C(N2)CCNC)C=O,142916891,maxmin
265575,CN(C)C1=CC=C(C=C1)/C=C/C2=C3C(=C(S2)C4=C5C(=C(S4)C=O)OCCO5)OCCO3,12965119,maxmin
135107,CCC1C(N(C(=O)C1F)CO)COC2=NC=CC3=C2N4C=CN=C4C(=C3)C=O,170134066,maxmin
165730,C1=CNC(=C1C(=O)[C@H](CCCCN)N)C=O,54407796,maxmin
125220,CCC1(C(C(C(O1)N2C=C(C3=C(N=C(N=C32)N)C=O)F)F)O)C#C,163811631,maxmin
26676,CC1=C([C@]2(CCC[C@]([C@@H]2CC1)(C)C(=O)OC)C)CCC3=COC(=C3)C=O,129752679,maxmin
33130,CCN(CC)C1=CC2=C(C=C1)C(=C(C(=O)O2)C=O)CCCCCI,88927550,maxmin
84391,CC=C1C(=C(SC1=C(C)F)F)C=O,123292084,maxmin
5611,C1CNC(=O)C12CCN(CC2)C3=C(C=NC=C3C4=CSC=C4C=O)Cl,164620079,maxmin
87323,CC(=C)NC(=O)C1=C(C=CC(=C1)C2=CC3=C(C=C2CC(=O)OC)OC(=C3C=O)C4=CC=C(C=C4)F)F,129090675,maxmin
93154,C1OC2=C(O1)C=C(C=C2)[C@@H](C(F)(F)F)NC3=C(C(=O)C3=O)NC4=CSC(=C4O)C=O,136482983,maxmin
42964,C1[C@@H]([C@H](O[C@H]1N2C(=C(C(=O)NC2=O)F)C=O)CO)O,25027089,maxmin
64876,CC(CNC1=CSC(=N1)C=O)C(C(C(C(CC2CCCCC2)N)O)(F)F)O,88142751,maxmin
57668,C1C[C@H](CN(C1)CC2=C(SN=N2)C=O)NC3=NC(=NC=C3)C4=CN=C5N4C=C(C=C5)F,87328704,maxmin
80253,CCOC1=CC(=C(C=C1CN2CCC(CC2)N3C=C(C(=CC3=O)C=O)C)C4CC4)C5CC=C(C=C5)F,118059158,maxmin
177183,CC1=C2C(=CC=C1)C=C(C(=N2)N3C=C(C=N3)C4=NC5=C(C4(C)C)C=CC6=C5C=CN=C6)C=O,139218730,maxmin
