index,SMILES,PubChem_CID
285360,C(=O)[C@@H]1[C@@H](C(=O)N1)NC(=O)O,18601867
285859,CC(C)O/N=C(/C=O)\C1=CSC(=N1)NS(=O)(=O)C,18647879
150296,CC(C1=CC(=CC=C1)C(CO)(F)F)NC2=NC(=NC3=C2CN(C3)C4CC(CCO4)(C=O)OC)Cl,175195871
70692,CC1C(SC2=C1N=CC(=C2)CF)C(C3CCCCC3)NC4=CC=C(C=C4)C(=O)N(C)CCC=O,89114075
97280,CCN1CCCC2=C1C(=CC=C2)N(CS(=O)C3=NC4=CC(=C(C=C4N3)F)OC)C5(CC5)C=O,140353245
110113,CNC1=C(C=CN=C1)C2CC(C(C(C2)N)OSC)CC3=C(C(=CC=C3)F)C4=C(C=CC(=N4)C=O)F,145672893
141380,CCCC1CN/C/2=C/C=C\C(=C)C=C(N1C2)C(=NC3=C(C(=CC(=C3)C=O)F)C)C(C)CC,174063998
287689,CC(C)(C)OC(=O)CNC1CN(CC1OC)C2=NC3=C(C=C2)C(=O)C(CN3C4=NC=CS4)C=O,18969093
72538,C1CCC(CC1)N2C3=C(CCCCC3CC4=CC(=CC=C4)F)C(=N2)C(=O)N[C@H]5[C@H](C6CC5C=C6)C=O,89366870
84348,CCOC(=O)C1=C(C(C(=CN1CC=O)C(=O)NCC2=C(C=C(C=C2)F)F)O)OCCC(C)C,123275889
113455,CC(CCN(C)C/C=C\C(=C/NC)\C1=NC2=CN=C(C=C2S1)N(C)CCN(C)CC=O)F,153372226
185219,C1C[C@@H]2CN(C[C@@H]1N2C(C=O)N)C3=NC(=CC(=N3)N4CCOCC4)N5C6=CC=CC=C6N=C5C(F)F,24850285
48579,CCCC1=C(C=CC2=C1ON=C2C(F)(F)F)OCCCN(C)C3=NC=C(S3)C=O,58688758
83855,CC1=C(SC(=C1)C#CCN2[C@H](CC(C2=O)(F)F)C=O)C(=O)O,122597997
115286,CCCC/C(=C(/CC1=C(C(=CC=C1)F)F)\C(=C)C)/C(CC)(CCCCC=O)NN,154986102
136367,C[C@H]1[C@H]2CCC[C@H]([C@@H]2CCN1C(=O)CC3=C(C(=NC(=C3Cl)C)C=O)Cl)[C@@H](C(F)(F)F)O,170690430
145290,CN(C)C1=NC=NC(=C1)N2C(C(=CN2)N3C=C(N=C3)C(F)(F)F)C=O,174586049
17969,CC1=C2[C@H]([C@@H](CC2=O)C=O)[C@@H]3[C@@H]([C@H](C1)OC(=O)CC4=CC=C(C=C4)O)C(=C)C(=O)O3,12967200
68086,CC(C)(C)C1(CC(CN1C(=O)O)(F)F)C(=O)N(CC=O)C2=CC=C(C=C2)Br,88879855
77033,CC=CN=C(C=C)C1=C(C=C(C=C1)C=C2CCCN3C2=NOC3(CC=O)C4=CC=C(C=C4)F)OC,91150776
116469,CCC1=CC(=C(C=C1C)C2=C(C(=C(N2)O)C(=NC)C3=C(C=C(C(=C3)C)CC)F)C=O)F,155262953
154214,C1C(C(CN1C2=NN(C3=C2C(=CC=C3)Cl)S(=O)(=O)C4=CC=C(C=C4)C=O)(F)F)(F)F,176116660
154289,COCCOC1(C=CC(C(=C1F)C2=CC=CC=C2)(C#N)Cl)C(C=O)C3=CC=CC=C3,176139494
155119,C1CC(=O)NC(=O)C1C2=C(C=C(C=C2F)N3CCC4(CC3)CC(CO4)C=O)F,176364125
63324,C/C(=N\NN1C(=C2CC=CC=C2C(=O)N1)C(C=O)NC(=O)C3=CC=CC=C3)/C4=CC=CC=C4F,87895139
87890,C1=CC2=C(C=CC3=C2C(=C1)C(=O)N(C3=O)OSC(F)(F)F)SCCC(=O)SCCC=O,129270530
91031,C/C(=C\1/C(=C\C=O)/NN(C1=O)C2=C(C=C(C=C2)F)Cl)/N(C)CC3=CC(=CC(=C3)OC)OC,134333569
92450,CC(C)(C#CC1=NC(=C(C=C1)C2=CC=CC(=C2NC=NC)C=O)C(CC3=CC(=CC(=C3)F)F)NC)O,135266881
99554,CC(CCC1=NN2C(=C1)N=C(N=C2N3C4CC5CC3CC(C4)O5)C=O)(F)F,141706153
102817,CCOC(=O)CCN=C1C2=CC(=CC=CC2N=C(N1)C3=CC=C(C=C3)C4=CC=CC=C4C=O)F,143206709
118836,CN[C@@H]1CN(CC[C@@H]1OCC=O)C(=O)N2CC3(C2)CC(C3)CC4=C(C=CC=C4F)O,156175401
128386,CCC(C)C(NCCCCCNCN(CNC(C1=CC=CC=C1)NCNCOCC=O)F)O,166811988
134489,CC1=CC(=C(C=C1)NC2=C(C=C(C3=CN=CN32)CC4=C(C(=NC=C4)NSNC)F)C=O)F,169946915
153191,CC1=NSC(=N1)C2=NC(=C3N2CCN([C@@H]3C=O)C(=O)C4=CC=C(C=C4)F)N5CCCCC5=O,175795693
175227,C1=CC=C(C=C1)CN2[C@@H]3[C@](C4=CC=CC=C42)(C5=CC=CC=C5O3)CCC=O,135026122
179767,C1=CC2=C(C3C4=C(C2(C5=C3C(=CC=C5)O)C=O)C=C(C=C4)O)C(=C1)O,171392824
261884,C1=CC=C2C(=C1)C3C4C(C2(C5=CC=CC=C35)C=O)C(=O)N(C4=O)C6=CC=C(C=C6)C(=O)O,2836806
275909,CC1=C(SC(=C1)CCCCNC2=NC(=NN2C)CO)C=O,12926519
280126,CN1CCC2=C3C(=C(SC3=C(C=C2)Cl)C=O)C1,15158038
17444,CC1=C(C(CCC1)(C)C)/C=C/C(C)N2CCC3=C(C2)C=CC(=C3)C=O,166636362
34576,CSC1=NC=C(C(=N1)N2CC(=O)NCC23CCCCC3)C=O,138596700
80174,C1CCC2=C(SC(=C2C1)C=O)C3=NOC(C3)(C4=C(C(=C(S4)Cl)Cl)Cl)C(F)(F)F,118035988
103475,CN(C1=C(C=CC=N1)C2(CC3=C(C2)C=C(C=C3)N)C=O)SF,143468828
152624,C[C@H]1C(NC2=C(C(=C(C=C2)C(F)(F)F)Cl)C(=N1)C3=C(C=CC(=N3)OC)Cl)C=O,175578761
162001,CC1=C(C(=O)NC(=O)N1)CCC(=O)N[C@H](C[S@@](=O)CSC)C=O,155487936
175307,C1[C@@H](C2CC(=O)C=C[C@@]23N1C(=O)CC4=CC5=C(C=C34)OCO5)C=O,135031696
176682,CCCC[C@](C)(C=O)[C@H](CCCCCCCCC(=O)C1=CC=CC=C1)C(=O)N2CCOC2=O,138984819
