id,bde_gxtb_kcal
9157,105.433
118867,109.474
2393,63.014
111399,111.612
21150,104.065
101,105.618
52935,103.243
124404,102.87
82567,112.313
27200,113.112
15064,111.531
115551,106.134
118305,104.764
96254,105.565
202005,104.825
218471,121.728
92,108.254
217476,104.373
1563,97.875
112819,105.403
10061,106.687
12189,103.472
217562,105.862
22459,112.158
219064,101.514
51824,108.101
51217,113.919
151176,106.234
86054,105.368
214359,120.128
60774,108.8
205052,106.484
66596,107.232
146254,105.857
6736,102.397
1504,107.178
206845,108.105
112240,107.545
103496,110.102
27266,64.731
28970,109.154
200754,106.67
104584,89.883
89664,106.192
12406,103.318
35694,105.734
22988,98.633
66209,109.712
176034,106.006
21055,103.404
110198,104.087
220105,108.541
120422,110.366
113928,105.948
73473,114.464
22131,108.377
27081,103.905
61165,105.493
219655,111.511
25160,103.738
220847,
115140,118.16
203514,68.824
104442,105.515
218694,103.299
122850,107.283
118375,112.973
203725,104.847
146575,105.635
151170,107.559
171060,107.829
4803,105.892
201581,95.101
1636,112.535
14981,108.734
23128,103.196
128742,104.336
8560,108.241
220019,108.881
207581,109.418
218851,107.746
120150,109.53
31109,110.19
61585,106.08
1161,110.247
117826,108.073
117549,80.918
73770,105.175
205280,122.143
3838,111.321
26544,111.052
48970,104.367
210112,54.151
59120,106.346
65799,48.467
183044,105.555
171363,115.784
112445,109.096
200170,106.541
24035,
97727,49.282
172176,107.548
27626,107.697
135,105.372
15059,111.766
26343,33.352
119774,111.145
11263,102.905
186075,81.569
29975,102.897
119129,109.66
19256,103.951
146809,96.03
23400,106.294
187141,106.701
23088,103.622
109478,104.126
123195,106.98
25512,112.917
4518,129.06
211578,96.755
113945,114.136
203938,
161686,106.488
19586,97.878
120128,70.669
17897,
27480,106.039
146711,105.373
151181,106.987
58977,124.724
146549,105.96
120129,105.504
147673,117.382
217499,113.336
24517,101.871
23891,104.193
93656,117.661
94593,98.792
220087,107.971
110741,115.231
217483,106.607
25642,116.469
14149,105.634
50351,110.148
25377,108.106
27701,105.934
184395,104.166
185520,104.807
187145,99.405
120930,106.81
45257,107.785
214445,103.094
219455,103.335
29060,101.107
219038,105.938
69530,109.196
215024,107.17
85357,91.732
151870,92.336
117075,109.199
86687,101.651
115879,104.068
214570,128.739
182714,104.366
15512,107.723
118651,101.551
212124,111.022
25016,112.188
215967,100.462
98310,104.975
69862,81.255
24694,104.659
102034,104.195
117303,107.344
117227,108.988
10422,106.743
117198,111.556
202599,110.275
211168,106.219
114992,109.74
112512,103.196
26944,107.635
25918,106.19
114939,104.711
620,110.83
24741,89.723
26006,98.447
176579,109.075
21194,110.548
21461,107.974
14903,111.579
206421,108.591
108812,101.539
74416,106.945
117276,111.654
80259,105.788
212235,108.589
220084,110.07
75379,103.721
6583,101.784
209619,102.533
217516,106.513
206674,109.963
26549,114.905
16305,70.785
118204,107.184
22819,105.12
214803,110.48
22802,102.491
112273,106.237
200118,108.445
14081,109.544
215132,108.366
20767,94.447
112450,105.474
24875,100.589
111130,106.58
10812,103.15
118551,91.336
181950,98.905
25426,98.433
181939,97.756
205608,109.574
52974,107.231
16342,104.314
134420,105.429
208989,105.135
26137,105.821
17280,96.72
145968,106.417
201101,108.395
176429,102.166
114887,107.351
102463,111.471
47039,105.525
110036,101.919
118130,115.624
10094,97.926
146819,99.886
216184,117.367
3403,121.56
67873,107.019
109326,108.084
25053,105.811
215640,105.396
6006,106.763
109297,105.964
151470,109.598
32334,103.53
72073,102.648
202637,105.093
18340,102.512
200121,109.094
102249,103.501
145891,106.213
105354,106.85
105145,106.916
195732,48.949
129410,100.203
119263,109.861
4653,118.602
186986,104.186
146448,102.025
81303,110.005
51023,107.56
209352,105.94
96282,46.068
102111,107.767
524,69.275
17849,106.15
112569,106.483
115486,108.508
57647,110.554
111229,109.894
26371,106.264
71624,104.407
31101,104.304
17716,102.619
112153,109.147
147501,107.925
18663,91.309
211003,107.795
24444,104.676
58257,100.347
2780,105.394
112251,103.434
118191,81.33
31244,31.529
86652,106.591
4818,97.804
24785,105.924
6248,108.427
5956,102.844
19025,103.974
34924,81.54
215008,111.347
182408,107.35
643,106.097
111506,108.444
213695,116.796
21724,111.238
109552,109.066
146719,108.87
171219,104.296
120870,
89173,104.765
105096,107.275
27224,113.355
23379,108.364
115242,105.684
530,104.508
24469,101.137
27255,93.395
117353,129.954
76416,104.782
202268,104.534
108084,105.724
112663,112.699
210513,104.208
19205,108.104
29198,104.569
68148,98.894
40061,107.591
85514,98.316
3420,110.427
22479,107.114
210819,111.948
27059,109.496
19206,116.208
112546,105.435
131729,
31156,98.137
109405,104.106
206964,88.796
147010,102.924
114396,106.29
122111,105.555
112711,65.941
207004,111.081
71251,107.334
32442,97.908
26946,105.61
148477,102.428
22134,106.78
40573,108.354
92393,107.327
26611,105.922
117038,111.458
185029,101.551
114835,118.121
105075,109.644
