donor_id,acceptor_id,donor_smiles,acceptor_smiles
FGFAVRPKDPQNDQ-UHFFFAOYSA-N,YUQNLLQOFBHLEM-UHFFFAOYSA-N,CCOC(=O)CCCOc1ccc(C=O)cc1F,O=Cc1cc(F)cnc1C1CC1
QOSVASMRQVWIBY-UHFFFAOYSA-N,DYKVVENJUKAVIP-UHFFFAOYSA-N,O=Cc1cc(Br)c([N+](=O)[O-])cc1F,Cn1c(C=O)ccc1-c1cccc(OC(F)(F)F)c1
HPQBFVOTEQNDNO-UHFFFAOYSA-N,QWBBIUZKPSPCGI-UHFFFAOYSA-N,Nc1nc(CF)c(C=O)o1,O=Cc1cc(Cl)cc(-c2cn(Cc3ccc(-c4nnc(C(F)F)o4)cc3F)nn2)c1
NTEGCABTMKSSKM-UHFFFAOYSA-N,PYJGGZVEXSQYRU-UHFFFAOYSA-N,O=Cc1ccc(OCCOc2c(Cl)cc(OCC=C(Cl)Cl)cc2Cl)cc1,O=Cc1cccn1CCc1ccc(F)cc1
KAIBNDXVCRJMSC-UHFFFAOYSA-N,JGPGZNVODICOGN-UHFFFAOYSA-N,COc1ccc(-c2[nH]c3ccc(F)cc3c2C=O)cc1OC,Cc1ccc(Oc2ccc([N+](=O)[O-])cc2C=O)cc1
QELBQGQAKVQWTH-UHFFFAOYSA-N,XFIVCYVDZPIDTJ-UHFFFAOYSA-N,COc1cc(C=O)c(CN)nc1OC(F)(F)F,O=Cc1csc(C(O)C2=CCCCC2=O)c1
PIRZCSNEBZBWFQ-BBHUYCHWSA-N,OCCUMQMPMXUDAM-UHFFFAOYSA-N,C=CC[C@]1(Oc2ccc(F)cc2C=O)CCCN(C(=O)C2=CCC(OC)NC2OC)C1,CC(C)(C)[Si](C)(C)OCc1cc(F)c(C=O)c2cc(OC(N)=O)ncc12
SROOMKIJZQRSIE-UHFFFAOYSA-N,QCZREWHANZICFM-UHFFFAOYSA-N,N#Cc1cc(OC(F)(F)F)c(N)nc1C=O,Cc1cc(I)c(F)cc1C=O
XSPDMODYDHOMJZ-UHFFFAOYSA-N,NFSVGJLKFKEOBP-UHFFFAOYSA-N,COc1sc(-c2ccccc2)nc1C=O,O=Cc1cn2c3c1ccc1c4ccccc4n(c13)CC(OCCN1CCCCC1)C2
JSCWARWMGROIRT-UHFFFAOYSA-N,OWHDEDLXYSQEPY-UHFFFAOYSA-N,O=Cc1cn(-c2ccccc2Br)nc1C(F)(F)F,N#CC(NCc1ccc(C=O)cc1)c1ccccc1
