ald_id,smiles,canon
LSLCGODJKYBTOE-UHFFFAOYSA-N,CC1CCCCCN1c1cccc(F)c1C=O,CC1CCCCCN1c1cccc(F)c1C=O
GTMFIRJLBBXARD-UHFFFAOYSA-N,O=Cc1ccc(F)cc1OCc1ccccc1,O=Cc1ccc(F)cc1OCc1ccccc1
GNHLBYCZBGGVDJ-UHFFFAOYSA-N,CCOC(=O)Cc1cc(C=O)c(C(F)(F)F)cc1C#N,CCOC(=O)Cc1cc(C=O)c(C(F)(F)F)cc1C#N
DCLKRBSBZAEWBK-UHFFFAOYSA-N,O=Cc1ccc(C(F)(F)F)cc1C1CCC2(CNC2)C1,O=Cc1ccc(C(F)(F)F)cc1C1CCC2(CNC2)C1
NCYZGDNAURQEMU-UHFFFAOYSA-N,CCOC(=O)c1c(C)cc(C=O)c(NC(=O)c2ccccc2F)c1C,CCOC(=O)c1c(C)cc(C=O)c(NC(=O)c2ccccc2F)c1C
CTSYMGKKRHIYIH-UHFFFAOYSA-N,O=Cc1ccc(C(F)(F)F)cc1[N+](=O)[O-],O=Cc1ccc(C(F)(F)F)cc1[N+](=O)[O-]
OVSKBSANDITPJP-UHFFFAOYSA-N,O=Cc1cccc(OC2CCC(F)(F)CC2)c1,O=Cc1cccc(OC2CCC(F)(F)CC2)c1
KGJSOQLNZOQSQV-UHFFFAOYSA-N,Cn1nccc1CCOc1ccc(F)cc1C=O,Cn1nccc1CCOc1ccc(F)cc1C=O
VFEJCQSLGZGGLT-UHFFFAOYSA-N,CCCN(CC(F)(F)F)c1c(Cl)cccc1C=O,CCCN(CC(F)(F)F)c1c(Cl)cccc1C=O
CCRDXZGFEZQDRL-QHLKIINSSA-N,COc1cc(O)cc(C(=O)c2c(O)cc(C)c3c2O[C@@]2(C)OC[C@H](C)[C@H]2C3)c1C=O,COc1cc(O)cc(C(=O)c2c(O)cc(C)c3c2O[C@@]2(C)OC[C@H](C)[C@H]2C3)c1C=O
IFSVDNYGDIPKEX-UHFFFAOYSA-N,O=Cc1cc(C=Cc2ccc(OCC3CC3)cc2)cc(F)c1O,O=Cc1cc(C=Cc2ccc(OCC3CC3)cc2)cc(F)c1O
LDVQTLSRHXSKOL-UHFFFAOYSA-N,CCCCCCCCCOC(=O)CCCCCCCCC(=O)Oc1ccc(C=O)cc1,CCCCCCCCCOC(=O)CCCCCCCCC(=O)Oc1ccc(C=O)cc1
